Geografi,År,Alder,Innvandringskategori,Lavinntektsgrense,Måltall,value
Hele landet,2015-2017,alle aldre,totalt,EU 60,andel (prosent),9.79045899312611
Hele landet,2015-2017,0-17 år,totalt,EU 60,andel (prosent),10.9945990978467
Hele landet,2016-2018,alle aldre,totalt,EU 60,andel (prosent),10.0339836324143
Hele landet,2016-2018,0-17 år,totalt,EU 60,andel (prosent),11.4797085099247
Hele landet,2017-2019,alle aldre,totalt,EU 60,andel (prosent),10.2464654819684
Hele landet,2017-2019,0-17 år,totalt,EU 60,andel (prosent),11.8570877648778
Hele landet,2018-2020,alle aldre,totalt,EU 60,andel (prosent),10.2403359170556
Hele landet,2018-2020,0-17 år,totalt,EU 60,andel (prosent),11.8811790618041
Hele landet,2019-2021,alle aldre,totalt,EU 60,andel (prosent),10.0813517886317
Hele landet,2019-2021,0-17 år,totalt,EU 60,andel (prosent),11.5211645208286
Hele landet,2020-2022,alle aldre,totalt,EU 60,andel (prosent),9.80538953107484
Hele landet,2020-2022,0-17 år,totalt,EU 60,andel (prosent),10.8782515336791
Hele landet,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.54586721413631
Hele landet,2021-2023,0-17 år,totalt,EU 60,andel (prosent),10.2973186209578
Telemark,2015-2017,alle aldre,totalt,EU 60,andel (prosent),11.4925161425602
Telemark,2015-2017,0-17 år,totalt,EU 60,andel (prosent),14.8274392841926
Telemark,2016-2018,alle aldre,totalt,EU 60,andel (prosent),11.6571765529696
Telemark,2016-2018,0-17 år,totalt,EU 60,andel (prosent),15.1960784313725
Telemark,2017-2019,alle aldre,totalt,EU 60,andel (prosent),11.8689620550746
Telemark,2017-2019,0-17 år,totalt,EU 60,andel (prosent),15.9249187504145
Telemark,2018-2020,alle aldre,totalt,EU 60,andel (prosent),11.8347851548203
Telemark,2018-2020,0-17 år,totalt,EU 60,andel (prosent),16.0964127047278
Telemark,2019-2021,alle aldre,totalt,EU 60,andel (prosent),11.6469307448562
Telemark,2019-2021,0-17 år,totalt,EU 60,andel (prosent),15.679115726009
Telemark,2020-2022,alle aldre,totalt,EU 60,andel (prosent),11.4581244264557
Telemark,2020-2022,0-17 år,totalt,EU 60,andel (prosent),15.0774550015254
Telemark,2021-2023,alle aldre,totalt,EU 60,andel (prosent),11.2763126058553
Telemark,2021-2023,0-17 år,totalt,EU 60,andel (prosent),14.5271191060234
Porsgrunn,2015-2017,alle aldre,totalt,EU 60,andel (prosent),10.1736234986324
Porsgrunn,2015-2017,0-17 år,totalt,EU 60,andel (prosent),11.9886721208307
Porsgrunn,2016-2018,alle aldre,totalt,EU 60,andel (prosent),10.6931218491111
Porsgrunn,2016-2018,0-17 år,totalt,EU 60,andel (prosent),12.9032258064516
Porsgrunn,2017-2019,alle aldre,totalt,EU 60,andel (prosent),10.9776110655257
Porsgrunn,2017-2019,0-17 år,totalt,EU 60,andel (prosent),13.624107850912
Porsgrunn,2018-2020,alle aldre,totalt,EU 60,andel (prosent),10.7805502239283
Porsgrunn,2018-2020,0-17 år,totalt,EU 60,andel (prosent),13.5411746181704
Porsgrunn,2019-2021,alle aldre,totalt,EU 60,andel (prosent),10.8252511760265
Porsgrunn,2019-2021,0-17 år,totalt,EU 60,andel (prosent),13.1896005072923
Porsgrunn,2020-2022,alle aldre,totalt,EU 60,andel (prosent),10.7741466957153
Porsgrunn,2020-2022,0-17 år,totalt,EU 60,andel (prosent),13.5348014788619
Porsgrunn,2021-2023,alle aldre,totalt,EU 60,andel (prosent),10.4678666205146
Porsgrunn,2021-2023,0-17 år,totalt,EU 60,andel (prosent),12.8617886178862
Skien,2015-2017,alle aldre,totalt,EU 60,andel (prosent),12.7093961961727
Skien,2015-2017,0-17 år,totalt,EU 60,andel (prosent),17.4371451743715
Skien,2016-2018,alle aldre,totalt,EU 60,andel (prosent),12.6297174394652
Skien,2016-2018,0-17 år,totalt,EU 60,andel (prosent),17.4443427874352
Skien,2017-2019,alle aldre,totalt,EU 60,andel (prosent),13.0189152189422
Skien,2017-2019,0-17 år,totalt,EU 60,andel (prosent),18.4565459892506
