[09.12.2024 14:39:32,16] Innvandrere - Bosatt : innvandrere_bosatt.py : Completed : New Data:No 
[09.12.2024 14:39:40,85] Innvandrere - Innvandringsgrunn : innvandringsgrunn.py : Completed : New Data:No 
[09.12.2024 14:39:44,48] Innvandrere - Flyktninger og arbeidsinnvandrere : andel_flyktninger_og_arbeidsinnvandrere.py : Completed : New Data:No 
[09.12.2024 14:39:47,33] Innvandrere - Botid : botid.py : Completed : New Data:No 
[09.12.2024 14:39:50,37] Innvandrere - Anmodninger og faktisk bosetting : anmodninger_og_faktisk_bosetting.py : Completed : New Data:No 
[09.12.2024 14:39:53,12] Innvandrere - Enslige mindreårige : enslige_mindreårige.py : Completed : New Data:No 
[09.12.2024 14:39:55,74] Innvandrere - Sekundærflytting : sekundærflytting.py : Completed : New Data:No 
[09.12.2024 14:39:58,24] Innvandrere - Deltakere introdukjonsprogrammet : deltakere_introduksjonsprogram.py : Completed : New Data:No 
[09.12.2024 14:40:00,83] Innvandrere - Etter introduksjonsprogrammet : etter_introduksjonsprogram.py : Completed : New Data:No 
[09.12.2024 14:40:04,01] Innvandrere - Minoriteter i barnehage : minoriteter_barnehage.py : Completed : New Data:No 
[09.12.2024 14:40:09,15] Innvandrere - Fullført VGO : innv_fullført_vgo.py : Completed : New Data:No 
[09.12.2024 14:40:11,70] Innvandrere - Høyeste utdanning : innv_høyeste_utdanning.py : Completed : New Data:No 
[09.12.2024 14:40:18,61] Innvandrere - Sysselsatte : andel_sysselsatte_innvandrere.py : Completed : New Data: True 
[09.12.2024 14:40:23,31] Innvandrere - Sysselsatte etter botid og bakgrunn : andel_sysselsatte_etter_botid_og_landbakgrunn.py : Completed : New Data: True 
[09.12.2024 14:40:27,35] Innvandrere - Lavinntekt : andel_innvandrere_i_lavinntekt.py : Completed : New Data:No 
[09.12.2024 14:40:31,64] Areal - Jordbruksareal per kommune : jordbruksareal_per_kommune.py : Completed : New Data:No 
[09.12.2024 14:40:35,65] Idrett, friluftsliv og frivillighet - Jegere : andel_jegere.py : Completed : New Data:No 
[09.12.2024 14:40:37,19] Daily run completed. 
