Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Hele landet,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.6390017411492
Hele landet,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.52085005831655
Hele landet,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",20.6895517013743
Hele landet,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.0717481665828
Hele landet,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.59684744857067
Hele landet,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.4128883291352
Hele landet,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.1939549278455
Hele landet,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.81422368980703
Hele landet,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.342518146338
Hele landet,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",17.0772759973395
Hele landet,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.55290158417467
Hele landet,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",25.470071655622
Hele landet,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.5094229011845
Hele landet,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.80369794366684
Hele landet,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",23.1814740898768
Hele landet,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.2752013520798
Hele landet,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.73117863793966
Hele landet,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.7158233016801
Hele landet,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.284455164403
Hele landet,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.1163038598305
Hele landet,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.3850850839518
Telemark,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.4613094017885
Telemark,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.05397364976581
Telemark,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.8050271233151
Telemark,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.4946475929454
Telemark,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.03766713790087
Telemark,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.8180111826284
Telemark,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.575968993818
Telemark,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.05788114814057
Telemark,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.85791984367
Telemark,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",16.5285287481522
Telemark,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.01473303844118
Telemark,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",23.9237541807443
Telemark,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Telemark,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Telemark,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Telemark,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Telemark,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Telemark,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Telemark,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.572727604982
Telemark,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.06910464141168
Telemark,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",20.0149266981569
Porsgrunn,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",16.3459772359553
Porsgrunn,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.45968431697353
Porsgrunn,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",25.1246079807847
Porsgrunn,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",19.9539150693876
Porsgrunn,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",12.3559954805566
Porsgrunn,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",27.4254511607534
Porsgrunn,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Porsgrunn,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.519351193429
Porsgrunn,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.69695738024041
Porsgrunn,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",18.3214251756297
Skien,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.6588694690434
Skien,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.67370545673972
Skien,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.5531490919715
Skien,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Skien,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
