Geografi,År,Kjønn,Alder,Dødsårsaker,Måltall,Verdi
Hele landet,2017,menn,alle aldre,Alle dødsårsaker,"per 100.000, standardisert",852.364498643497
Hele landet,2017,menn,alle aldre,Diabetes,"per 100.000, standardisert",12.7265948987938
Hele landet,2017,menn,alle aldre,Kreft,"per 100.000, standardisert",254.258342936918
Hele landet,2017,menn,alle aldre,Brystkreft,"per 100.000, standardisert",:
Hele landet,2017,menn,alle aldre,Føflekkreft,"per 100.000, standardisert",6.94675261227612
Hele landet,2017,menn,alle aldre,Lungekreft,"per 100.000, standardisert",51.233305062491
Hele landet,2017,menn,alle aldre,Magekreft,"per 100.000, standardisert",7.54658756191989
Hele landet,2017,menn,alle aldre,Prostatakreft,"per 100.000, standardisert",41.8908472007975
Hele landet,2017,menn,alle aldre,Tykktarmskreft,"per 100.000, standardisert",25.920949743409
Hele landet,2017,menn,alle aldre,Hjerte- og karsykdommer,"per 100.000, standardisert",215.848448485721
Hele landet,2017,menn,alle aldre,Lungesykdommer,"per 100.000, standardisert",94.3634623453171
Hele landet,2017,menn,alle aldre,Fordøyelsessykdommer,"per 100.000, standardisert",26.4877110310785
Hele landet,2017,menn,alle aldre,Voldsomme dødsfall,"per 100.000, standardisert",58.1394035388107
Hele landet,2017,menn,alle aldre,Ulykker,"per 100.000, standardisert",42.3056680954966
Hele landet,2017,menn,alle aldre,Trafikkulykker,"per 100.000, standardisert",2.80899442457875
Hele landet,2017,menn,alle aldre,Selvmord,"per 100.000, standardisert",15.4180855220669
Hele landet,2017,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",94.952472726064
Hele landet,2017,menn,0-74 år,Alle dødsårsaker,"per 100.000, standardisert",312.102217943246
Hele landet,2017,menn,0-74 år,Diabetes,"per 100.000, standardisert",4.77505421186527
Hele landet,2017,menn,0-74 år,Kreft,"per 100.000, standardisert",117.299623780553
Hele landet,2017,menn,0-74 år,Brystkreft,"per 100.000, standardisert",:
Hele landet,2017,menn,0-74 år,Føflekkreft,"per 100.000, standardisert",3.21036721421603
Hele landet,2017,menn,0-74 år,Lungekreft,"per 100.000, standardisert",27.1422231363583
Hele landet,2017,menn,0-74 år,Magekreft,"per 100.000, standardisert",4.3213902763623
Hele landet,2017,menn,0-74 år,Prostatakreft,"per 100.000, standardisert",8.81151411579094
Hele landet,2017,menn,0-74 år,Tykktarmskreft,"per 100.000, standardisert",11.9606427487765
Hele landet,2017,menn,0-74 år,Hjerte- og karsykdommer,"per 100.000, standardisert",65.0338574595062
Hele landet,2017,menn,0-74 år,Lungesykdommer,"per 100.000, standardisert",22.4589730028216
Hele landet,2017,menn,0-74 år,Fordøyelsessykdommer,"per 100.000, standardisert",11.0408355723735
Hele landet,2017,menn,0-74 år,Voldsomme dødsfall,"per 100.000, standardisert",36.9385125613945
Hele landet,2017,menn,0-74 år,Ulykker,"per 100.000, standardisert",21.2130328429497
Hele landet,2017,menn,0-74 år,Trafikkulykker,"per 100.000, standardisert",2.4511699428243
Hele landet,2017,menn,0-74 år,Selvmord,"per 100.000, standardisert",15.0336165255498
Hele landet,2017,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",40.8882545056882
Hele landet,2017,menn,0-44 år,Alle dødsårsaker,"per 100.000, standardisert",52.2898900522789
Hele landet,2017,menn,0-44 år,Diabetes,"per 100.000, standardisert",:
Hele landet,2017,menn,0-44 år,Kreft,"per 100.000, standardisert",6.83758939630575
Hele landet,2017,menn,0-44 år,Brystkreft,"per 100.000, standardisert",:
Hele landet,2017,menn,0-44 år,Føflekkreft,"per 100.000, standardisert",:
Hele landet,2017,menn,0-44 år,Lungekreft,"per 100.000, standardisert",0.390892754016325
Hele landet,2017,menn,0-44 år,Magekreft,"per 100.000, standardisert",:
Hele landet,2017,menn,0-44 år,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2017,menn,0-44 år,Tykktarmskreft,"per 100.000, standardisert",0.401500607658075
Hele landet,2017,menn,0-44 år,Hjerte- og karsykdommer,"per 100.000, standardisert",3.67426043372573
Hele landet,2017,menn,0-44 år,Lungesykdommer,"per 100.000, standardisert",0.784161824572239
Hele landet,2017,menn,0-44 år,Fordøyelsessykdommer,"per 100.000, standardisert",0.786090628277669
Hele landet,2017,menn,0-44 år,Voldsomme dødsfall,"per 100.000, standardisert",26.2559438788851
Hele landet,2017,menn,0-44 år,Ulykker,"per 100.000, standardisert",13.0719828253148
Hele landet,2017,menn,0-44 år,Trafikkulykker,"per 100.000, standardisert",1.96549459953378
Hele landet,2017,menn,0-44 år,Selvmord,"per 100.000, standardisert",12.6087988268815
Hele landet,2017,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2017,menn,45-74 år,Alle dødsårsaker,"per 100.000, standardisert",725.346553623288
Hele landet,2017,menn,45-74 år,Diabetes,"per 100.000, standardisert",:
Hele landet,2017,menn,45-74 år,Kreft,"per 100.000, standardisert",292.699076720749
Hele landet,2017,menn,45-74 år,Brystkreft,"per 100.000, standardisert",:
