Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Oktober 2012,,,,,2012,oktober
I alt,60757.0,2.3,-2543.0,-4.0,2012,oktober
Østfold,4385.0,3.1,104.0,2.0,2012,oktober
Akershus,6055.0,2.1,-343.0,-5.0,2012,oktober
Oslo,10739.0,3.1,140.0,1.0,2012,oktober
Hedmark,2282.0,2.4,-144.0,-6.0,2012,oktober
Oppland,1986.0,2.1,22.0,1.0,2012,oktober
Buskerud,3132.0,2.2,-149.0,-5.0,2012,oktober
Vestfold,3376.0,2.8,-210.0,-6.0,2012,oktober
Telemark,2629.0,3.0,-19.0,-1.0,2012,oktober
Aust-Agder,1590.0,2.8,-31.0,-2.0,2012,oktober
Vest-Agder,2484.0,2.8,151.0,6.0,2012,oktober
Rogaland,3880.0,1.6,-510.0,-12.0,2012,oktober
Hordaland,4775.0,1.8,-826.0,-15.0,2012,oktober
Sogn og Fjordane,877.0,1.6,-9.0,-1.0,2012,oktober
Møre og Romsdal,2294.0,1.7,-244.0,-10.0,2012,oktober
Sør-Trøndelag,3269.0,2.1,-78.0,-2.0,2012,oktober
Nord-Trøndelag,1333.0,2.0,-82.0,-6.0,2012,oktober
Nordland,2960.0,2.5,-313.0,-10.0,2012,oktober
Troms,1572.0,1.9,4.0,0.0,2012,oktober
Finnmark,1121.0,2.9,-7.0,-1.0,2012,oktober
Øvrige områder,7.0,,4.0,133.0,2012,oktober
Ukjent,11.0,,-3.0,-21.0,2012,oktober
