Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
November 2013,,,,,2013,november
I alt,68241.0,2.6,7738.0,13.0,2013,november
Østfold,4799.0,3.4,450.0,10.0,2013,november
Akershus,6976.0,2.3,884.0,15.0,2013,november
Oslo,12096.0,3.4,1622.0,15.0,2013,november
Hedmark,2609.0,2.7,377.0,17.0,2013,november
Oppland,2145.0,2.2,225.0,12.0,2013,november
Buskerud,3540.0,2.5,525.0,17.0,2013,november
Vestfold,3602.0,2.9,232.0,7.0,2013,november
Telemark,2499.0,2.9,-228.0,-8.0,2013,november
Aust-Agder,1901.0,3.3,342.0,22.0,2013,november
Vest-Agder,2394.0,2.6,-120.0,-5.0,2013,november
Rogaland,4921.0,2.0,1018.0,26.0,2013,november
Hordaland,5466.0,2.1,799.0,17.0,2013,november
Sogn og Fjordane,1015.0,1.8,88.0,9.0,2013,november
Møre og Romsdal,2720.0,2.0,378.0,16.0,2013,november
Sør-Trøndelag,3432.0,2.1,185.0,6.0,2013,november
Nord-Trøndelag,1597.0,2.4,206.0,15.0,2013,november
Nordland,3324.0,2.7,300.0,10.0,2013,november
Troms,1757.0,2.1,140.0,9.0,2013,november
Finnmark,1403.0,3.6,287.0,26.0,2013,november
Øvrige områder,7.0,,0.0,0.0,2013,november
Ukjent,38.0,,28.0,280.0,2013,november
