Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
April 2014,,,,,2014,april
I alt,74625.0,2.8,5970.0,9.0,2014,april
Østfold,5457.0,3.9,662.0,14.0,2014,april
Akershus,7390.0,2.4,575.0,8.0,2014,april
Oslo,12759.0,3.6,967.0,8.0,2014,april
Hedmark,2871.0,3.0,90.0,3.0,2014,april
Oppland,2283.0,2.4,30.0,1.0,2014,april
Buskerud,4132.0,2.9,447.0,12.0,2014,april
Vestfold,3917.0,3.2,290.0,8.0,2014,april
Telemark,2914.0,3.3,90.0,3.0,2014,april
Aust-Agder,1973.0,3.5,171.0,9.0,2014,april
Vest-Agder,2578.0,2.8,98.0,4.0,2014,april
Rogaland,5141.0,2.1,858.0,20.0,2014,april
Hordaland,6125.0,2.3,733.0,14.0,2014,april
Sogn og Fjordane,1203.0,2.1,68.0,6.0,2014,april
Møre og Romsdal,2945.0,2.2,214.0,8.0,2014,april
Sør-Trøndelag,4097.0,2.5,379.0,10.0,2014,april
Nord-Trøndelag,1851.0,2.7,281.0,18.0,2014,april
Nordland,3487.0,2.9,-12.0,0.0,2014,april
Troms,1957.0,2.3,-61.0,-3.0,2014,april
Finnmark,1437.0,3.7,-3.0,0.0,2014,april
Øvrige områder,3.0,,0.0,0.0,2014,april
Ukjent,105.0,,93.0,775.0,2014,april
