Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Oktober 2014,,,,,2014,oktober
I alt,72114.0,2.7,4112.0,6.0,2014,oktober
Østfold,4864.0,3.4,90.0,2.0,2014,oktober
Akershus,7658.0,2.5,611.0,9.0,2014,oktober
Oslo,12167.0,3.4,-30.0,0.0,2014,oktober
Hedmark,2585.0,2.7,-27.0,-1.0,2014,oktober
Oppland,1877.0,1.9,-171.0,-8.0,2014,oktober
Buskerud,4124.0,2.9,599.0,17.0,2014,oktober
Vestfold,3679.0,3.0,95.0,3.0,2014,oktober
Telemark,2945.0,3.4,528.0,22.0,2014,oktober
Aust-Agder,1805.0,3.1,-57.0,-3.0,2014,oktober
Vest-Agder,2727.0,3.0,303.0,13.0,2014,oktober
Rogaland,5741.0,2.3,908.0,19.0,2014,oktober
Hordaland,6296.0,2.3,836.0,15.0,2014,oktober
Sogn og Fjordane,923.0,1.6,-66.0,-7.0,2014,oktober
Møre og Romsdal,2794.0,2.0,104.0,4.0,2014,oktober
Sør-Trøndelag,3857.0,2.4,400.0,12.0,2014,oktober
Nord-Trøndelag,1706.0,2.5,164.0,11.0,2014,oktober
Nordland,3275.0,2.7,-63.0,-2.0,2014,oktober
Troms,1725.0,2.0,-31.0,-2.0,2014,oktober
Finnmark,1216.0,3.1,-185.0,-13.0,2014,oktober
Øvrige områder,8.0,,-2.0,-20.0,2014,oktober
Ukjent,142.0,,106.0,294.0,2014,oktober
