Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
September 2015,,,,,,2015,september
I alt,79623.0,2.9,5485.0,7.0,2.7,2015,september
Østfold,4639.0,3.2,-576.0,-11.0,3.7,2015,september
Akershus,7915.0,2.6,157.0,2.0,2.5,2015,september
Oslo,12477.0,3.4,-352.0,-3.0,3.6,2015,september
Hedmark,2217.0,2.3,-473.0,-18.0,2.8,2015,september
Oppland,1844.0,1.9,-87.0,-5.0,2.0,2015,september
Buskerud,4124.0,2.8,5.0,0.0,2.9,2015,september
Vestfold,3546.0,2.9,-254.0,-7.0,3.1,2015,september
Telemark,2934.0,3.4,-101.0,-3.0,3.5,2015,september
Aust-Agder,2220.0,3.9,404.0,22.0,3.2,2015,september
Vest-Agder,3219.0,3.5,429.0,15.0,3.0,2015,september
Rogaland,9678.0,3.8,3973.0,70.0,2.3,2015,september
Hordaland,7788.0,2.8,1403.0,22.0,2.4,2015,september
Sogn og Fjordane,1016.0,1.8,121.0,14.0,1.6,2015,september
Møre og Romsdal,3589.0,2.6,711.0,25.0,2.1,2015,september
Sør-Trøndelag,4248.0,2.6,276.0,7.0,2.4,2015,september
Nord-Trøndelag,1806.0,2.6,61.0,3.0,2.6,2015,september
Nordland,3203.0,2.6,-102.0,-3.0,2.7,2015,september
Troms,1825.0,2.1,4.0,0.0,2.1,2015,september
Finnmark,1258.0,3.2,-41.0,-3.0,3.3,2015,september
Øvrige områder,9.0,,5.0,125.0,,2015,september
Ukjent,68.0,,-78.0,-53.0,,2015,september
