Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Februar 2018,,,,,,2018,februar
I alt,69789.0,2.5,-15013.0,-18.0,3.1,2018,februar
Østfold,4260.0,3.0,-463.0,-10.0,3.3,2018,februar
Akershus,6621.0,2.1,-839.0,-11.0,2.3,2018,februar
Oslo,10079.0,2.7,-1399.0,-12.0,3.0,2018,februar
Hedmark,1898.0,1.9,-332.0,-15.0,2.3,2018,februar
Oppland,1677.0,1.7,-294.0,-15.0,2.0,2018,februar
Buskerud,3506.0,2.4,-526.0,-13.0,2.7,2018,februar
Vestfold,3829.0,3.1,-497.0,-11.0,3.5,2018,februar
Telemark,2369.0,2.8,-692.0,-23.0,3.6,2018,februar
Aust-Agder,1790.0,3.1,-299.0,-14.0,3.7,2018,februar
Vest-Agder,2553.0,2.7,-801.0,-24.0,3.6,2018,februar
Rogaland,8019.0,3.1,-4092.0,-34.0,4.7,2018,februar
Hordaland,8070.0,2.9,-1717.0,-18.0,3.5,2018,februar
Sogn og Fjordane,955.0,1.6,-159.0,-14.0,1.9,2018,februar
Møre og Romsdal,3643.0,2.6,-1159.0,-24.0,3.4,2018,februar
Nordland,2609.0,2.1,-465.0,-15.0,2.5,2018,februar
Troms Romsa,1535.0,1.7,-300.0,-16.0,2.1,2018,februar
Finnmark Finnmárku,1155.0,2.9,-262.0,-18.0,3.5,2018,februar
Trøndelag,5212.0,2.1,-715.0,-12.0,2.4,2018,februar
Øvrige områder,7.0,,-3.0,-30.0,,2018,februar
Ukjent,,,,,,2018,februar
