Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
April 2020,,,,,,2020,april
I alt,269013.0,9.6,205673.0,325.0,2.3,2020,april
Oslo,48733.0,12.5,38767.0,389.0,2.6,2020,april
Rogaland,22658.0,8.9,16684.0,279.0,2.4,2020,april
Møre og Romsdal,11656.0,8.4,8698.0,294.0,2.1,2020,april
Nordland,9569.0,7.7,7193.0,303.0,1.9,2020,april
Viken,63431.0,10.0,49018.0,340.0,2.3,2020,april
Innlandet,16070.0,8.5,12294.0,326.0,2.0,2020,april
Vestfold og Telemark,19720.0,9.5,13983.0,244.0,2.8,2020,april
Agder,13424.0,8.9,10078.0,301.0,2.2,2020,april
Vestland,31352.0,9.3,23919.0,322.0,2.2,2020,april
Trøndelag - Trööndelage,20616.0,8.4,16033.0,350.0,1.9,2020,april
Troms og Finnmark - Romsa ja Finnmárku,11287.0,8.6,8524.0,309.0,2.1,2020,april
Øvrige områder,271.0,,261.0,2610.0,,2020,april
Ukjent,226.0,,221.0,4420.0,,2020,april
