Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Desember 2021,,,,,,2021,desember
I alt,61036.0,2.2,-45905.0,-43.0,3.8,2021,desember
Oslo,10723.0,2.7,-12067.0,-53.0,5.7,2021,desember
Rogaland,5127.0,2.0,-3838.0,-43.0,3.5,2021,desember
Møre og Romsdal,2717.0,2.0,-1376.0,-34.0,2.9,2021,desember
Nordland - Nordlánnda,2081.0,1.7,-1154.0,-36.0,2.6,2021,desember
Viken,15862.0,2.5,-11344.0,-42.0,4.2,2021,desember
Innlandet,3173.0,1.7,-2235.0,-41.0,2.9,2021,desember
Vestfold og Telemark,5097.0,2.4,-2658.0,-34.0,3.7,2021,desember
Agder,3061.0,2.0,-1789.0,-37.0,3.2,2021,desember
Vestland,6994.0,2.1,-5323.0,-43.0,3.6,2021,desember
Trøndelag - Trööndelage,3950.0,1.6,-2622.0,-40.0,2.6,2021,desember
Troms og Finnmark - Romsa ja Finnmárku,2211.0,1.7,-1447.0,-40.0,2.8,2021,desember
Øvrige områder,25.0,,-48.0,-66.0,,2021,desember
Ukjent,15.0,,-4.0,-21.0,,2021,desember
