Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
November 2021,,,,,,2021,november
I alt,59341.0,2.1,-49648.0,-46.0,3.9,2021,november
Oslo,10420.0,2.6,-12500.0,-55.0,5.8,2021,november
Rogaland,5132.0,2.0,-4199.0,-45.0,3.6,2021,november
Møre og Romsdal,2695.0,1.9,-1444.0,-35.0,3.0,2021,november
Nordland - Nordlánnda,2038.0,1.6,-1257.0,-38.0,2.6,2021,november
Viken,15166.0,2.4,-12267.0,-45.0,4.3,2021,november
Innlandet,3102.0,1.6,-2462.0,-44.0,3.0,2021,november
Vestfold og Telemark,4988.0,2.4,-2906.0,-37.0,3.8,2021,november
Agder,2980.0,2.0,-2099.0,-41.0,3.3,2021,november
Vestland,6838.0,2.0,-5874.0,-46.0,3.7,2021,november
Trøndelag - Trööndelage,3856.0,1.5,-2859.0,-43.0,2.7,2021,november
Troms og Finnmark - Romsa ja Finnmárku,2093.0,1.6,-1707.0,-45.0,2.9,2021,november
Øvrige områder,25.0,,-52.0,-68.0,,2021,november
Ukjent,8.0,,-22.0,-73.0,,2021,november
