Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juni 2022,,,,,,2022,juni
I alt,47104.0,1.6,-34212.0,-42.0,2.9,2022,juni
Oslo,8213.0,2.1,-7580.0,-48.0,4.1,2022,juni
Rogaland,4078.0,1.6,-2682.0,-40.0,2.7,2022,juni
Møre og Romsdal,2111.0,1.5,-1172.0,-36.0,2.4,2022,juni
Nordland - Nordlánnda,1449.0,1.2,-943.0,-39.0,2.0,2022,juni
Viken,12178.0,1.9,-9268.0,-43.0,3.4,2022,juni
Innlandet,2491.0,1.3,-1359.0,-35.0,2.1,2022,juni
Vestfold og Telemark,4037.0,1.9,-2393.0,-37.0,3.2,2022,juni
Agder,2378.0,1.6,-1481.0,-38.0,2.6,2022,juni
Vestland,5340.0,1.6,-3888.0,-42.0,2.8,2022,juni
Trøndelag - Trööndelage,3039.0,1.2,-2437.0,-45.0,2.3,2022,juni
Troms og Finnmark - Romsa ja Finnmárku,1772.0,1.4,-976.0,-36.0,2.2,2022,juni
Øvrige områder,5.0,,-38.0,-88.0,,2022,juni
Ukjent,13.0,,5.0,63.0,,2022,juni
