Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mai 2022,,,,,,2022,mai
I alt,47142.0,1.6,-46944.0,-50.0,3.3,2022,mai
Oslo,8055.0,2.0,-12755.0,-61.0,5.4,2022,mai
Rogaland,4044.0,1.6,-3343.0,-45.0,3.0,2022,mai
Møre og Romsdal,2115.0,1.5,-1437.0,-40.0,2.6,2022,mai
Nordland - Nordlánnda,1555.0,1.3,-1133.0,-42.0,2.2,2022,mai
Viken,12281.0,1.9,-12698.0,-51.0,4.0,2022,mai
Innlandet,2565.0,1.4,-1987.0,-44.0,2.5,2022,mai
Vestfold og Telemark,4166.0,2.0,-3109.0,-43.0,3.6,2022,mai
Agder,2347.0,1.5,-1801.0,-43.0,2.8,2022,mai
Vestland,5239.0,1.6,-4686.0,-47.0,3.0,2022,mai
Trøndelag - Trööndelage,2948.0,1.2,-2674.0,-48.0,2.3,2022,mai
Troms og Finnmark - Romsa ja Finnmárku,1804.0,1.4,-1292.0,-42.0,2.5,2022,mai
Øvrige områder,8.0,,-34.0,-81.0,,2022,mai
Ukjent,15.0,,5.0,50.0,,2022,mai
