Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mars 2022,,,,,,2022,mars
I alt,58368.0,2.0,-60963.0,-51.0,4.2,2022,mars
Oslo,10135.0,2.5,-15463.0,-60.0,6.6,2022,mars
Rogaland,4853.0,1.9,-4707.0,-49.0,3.9,2022,mars
Møre og Romsdal,2519.0,1.8,-1432.0,-36.0,2.9,2022,mars
Nordland - Nordlánnda,1837.0,1.5,-1885.0,-51.0,3.1,2022,mars
Viken,15334.0,2.3,-17026.0,-53.0,5.1,2022,mars
Innlandet,3144.0,1.7,-2259.0,-42.0,3.0,2022,mars
Vestfold og Telemark,5144.0,2.5,-5168.0,-50.0,5.1,2022,mars
Agder,2875.0,1.9,-2552.0,-47.0,3.6,2022,mars
Vestland,6505.0,1.9,-5458.0,-46.0,3.6,2022,mars
Trøndelag - Trööndelage,3838.0,1.5,-3484.0,-48.0,3.0,2022,mars
Troms og Finnmark - Romsa ja Finnmárku,2145.0,1.7,-1502.0,-41.0,2.9,2022,mars
Øvrige områder,10.0,,-40.0,-80.0,,2022,mars
Ukjent,29.0,,13.0,81.0,,2022,mars
