Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Østfold,4362.0,3.1551016963705796,-381.0,-8.03289057558507,2011,juni
Akershus,6547.0,2.25077970161399,-511.0,-7.24001133465571,2011,juni
Oslo,10456.0,3.0962051862757503,-1959.0,-15.779299234796609,2011,juni
Hedmark,2477.0,2.58095119023268,-82.0,-3.2043767096522,2011,juni
Oppland,2012.0,2.0922484182284697,42.0,2.13197969543147,2011,juni
Buskerud,3467.0,2.49006509275783,-393.0,-10.18134715025906,2011,juni
Vestfold,3630.0,3.01527706321849,-187.0,-4.89913544668587,2011,juni
Telemark,2740.0,3.17324328672587,-52.0,-1.86246418338108,2011,juni
Aust-Agder,1674.0,3.00780530867934,-140.0,-7.71775082690187,2011,juni
Vest-Agder,2177.0,2.44596748833946,-319.0,-12.780448717948708,2011,juni
Rogaland,4471.0,1.8862478231788797,-584.0,-11.55291790306627,2011,juni
Hordaland,6094.0,2.35997465633517,-121.0,-1.9469026548672501,2011,juni
Sogn og Fjordane,954.0,1.69753055390404,-251.0,-20.8298755186722,2011,juni
Møre og Romsdal,2733.0,2.04629255851447,-203.0,-6.914168937329699,2011,juni
Sør-Trøndelag,3977.0,2.54924554927334,-372.0,-8.553690503564031,2011,juni
Nord-Trøndelag,1510.0,2.27334573636641,-227.0,-13.0685089234312,2011,juni
Nordland,3245.0,2.69993431712949,29.0,0.90174129353233,2011,juni
Troms,1829.0,2.20114132968865,-243.0,-11.72779922779922,2011,juni
Finnmark,1102.0,2.89942232825138,-186.0,-14.44099378881987,2011,juni
Ikke i et fylkesdistrikt,30.0,,0.0,0.0,2011,juni
Riket,65487.0,2.5203533513923198,-6140.0,-8.57218646599745,2011,juni
