Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juni 2016,,,,,,2016,juni
I alt,80965.0,2.9,3655.0,5.0,2.8,2016,juni
Østfold,4603.0,3.2,-269.0,-6.0,3.4,2016,juni
Akershus,7405.0,2.4,-180.0,-2.0,2.4,2016,juni
Oslo,11770.0,3.2,-878.0,-7.0,3.5,2016,juni
Hedmark,2168.0,2.2,-202.0,-9.0,2.4,2016,juni
Oppland,1775.0,1.8,-153.0,-8.0,2.0,2016,juni
Buskerud,3975.0,2.7,-212.0,-5.0,2.9,2016,juni
Vestfold,3756.0,3.0,305.0,9.0,2.8,2016,juni
Telemark,2659.0,3.0,-239.0,-8.0,3.3,2016,juni
Aust-Agder,2111.0,3.7,101.0,5.0,3.5,2016,juni
Vest-Agder,3411.0,3.6,464.0,16.0,3.2,2016,juni
Rogaland,11288.0,4.3,3247.0,40.0,3.1,2016,juni
Hordaland,9259.0,3.3,1864.0,25.0,2.7,2016,juni
Sogn og Fjordane,910.0,1.6,-134.0,-13.0,1.8,2016,juni
Møre og Romsdal,4164.0,2.9,867.0,26.0,2.4,2016,juni
Sør-Trøndelag,3994.0,2.4,-219.0,-5.0,2.5,2016,juni
Nord-Trøndelag,1544.0,2.2,-296.0,-16.0,2.7,2016,juni
Nordland,3077.0,2.5,-135.0,-4.0,2.6,2016,juni
Troms,1789.0,2.0,-151.0,-8.0,2.3,2016,juni
Finnmark,1279.0,3.2,-53.0,-4.0,3.4,2016,juni
Øvrige områder,19.0,,14.0,280.0,,2016,juni
Ukjent,9.0,,-86.0,-91.0,,2016,juni
