Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Februar 2017,,,,,,2017,februar
I alt,84802.0,3.1,-6101.0,-7.0,3.3,2017,februar
Østfold,4723.0,3.3,-425.0,-8.0,3.6,2017,februar
Akershus,7460.0,2.4,-803.0,-10.0,2.6,2017,februar
Oslo,11478.0,3.1,-1431.0,-11.0,3.5,2017,februar
Hedmark,2230.0,2.3,-218.0,-9.0,2.5,2017,februar
Oppland,1971.0,2.0,-251.0,-11.0,2.3,2017,februar
Buskerud,4032.0,2.8,-386.0,-9.0,3.0,2017,februar
Vestfold,4326.0,3.5,250.0,6.0,3.3,2017,februar
Telemark,3061.0,3.5,-277.0,-8.0,3.8,2017,februar
Aust-Agder,2089.0,3.6,-479.0,-19.0,4.4,2017,februar
Vest-Agder,3354.0,3.5,-360.0,-10.0,3.9,2017,februar
Rogaland,12111.0,4.6,-339.0,-3.0,4.8,2017,februar
Hordaland,9787.0,3.5,109.0,1.0,3.5,2017,februar
Sogn og Fjordane,1114.0,1.9,-212.0,-16.0,2.3,2017,februar
Møre og Romsdal,4802.0,3.4,190.0,4.0,3.3,2017,februar
Sør-Trøndelag,4335.0,2.6,-540.0,-11.0,2.9,2017,februar
Nord-Trøndelag,1592.0,2.3,-319.0,-17.0,2.7,2017,februar
Nordland,3074.0,2.5,-422.0,-12.0,2.8,2017,februar
Troms,1835.0,2.1,-162.0,-8.0,2.3,2017,februar
Finnmark,1417.0,3.5,-9.0,-1.0,3.6,2017,februar
Øvrige områder,10.0,,-3.0,-23.0,,2017,februar
Ukjent,,,,,,2017,februar
