Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Januar 2017,,,,,,2017,januar
I alt,88238.0,3.2,-5046.0,-5.0,3.4,2017,januar
Østfold,4925.0,3.4,-250.0,-5.0,3.6,2017,januar
Akershus,7714.0,2.5,-728.0,-9.0,2.7,2017,januar
Oslo,11796.0,3.2,-1449.0,-11.0,3.6,2017,januar
Hedmark,2158.0,2.2,-403.0,-16.0,2.6,2017,januar
Oppland,1994.0,2.0,-333.0,-14.0,2.4,2017,januar
Buskerud,4055.0,2.8,-471.0,-10.0,3.1,2017,januar
Vestfold,4433.0,3.5,313.0,8.0,3.3,2017,januar
Telemark,3035.0,3.5,-446.0,-13.0,4.0,2017,januar
Aust-Agder,2260.0,3.9,-453.0,-17.0,4.7,2017,januar
Vest-Agder,3600.0,3.8,-346.0,-9.0,4.1,2017,januar
Rogaland,12779.0,4.9,158.0,1.0,4.8,2017,januar
Hordaland,10316.0,3.7,676.0,7.0,3.5,2017,januar
Sogn og Fjordane,1081.0,1.8,-335.0,-24.0,2.4,2017,januar
Møre og Romsdal,5108.0,3.6,388.0,8.0,3.3,2017,januar
Sør-Trøndelag,4476.0,2.6,-600.0,-12.0,3.0,2017,januar
Nord-Trøndelag,1630.0,2.3,-371.0,-19.0,2.9,2017,januar
Nordland,3373.0,2.7,-288.0,-8.0,2.9,2017,januar
Troms,1968.0,2.2,-78.0,-4.0,2.3,2017,januar
Finnmark,1520.0,3.8,-19.0,-1.0,3.8,2017,januar
Øvrige områder,16.0,,5.0,45.0,,2017,januar
Ukjent,,,,,,2017,januar
