Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
November 2017,,,,,,2017,november
I alt,64216.0,2.3,-13941.0,-18.0,2.8,2017,november
Østfold,3912.0,2.7,-350.0,-8.0,3.0,2017,november
Akershus,6219.0,1.9,-784.0,-11.0,2.2,2017,november
Oslo,9412.0,2.5,-1308.0,-12.0,2.9,2017,november
Hedmark,1723.0,1.8,-207.0,-11.0,2.0,2017,november
Oppland,1495.0,1.5,-250.0,-14.0,1.8,2017,november
Buskerud,3207.0,2.2,-495.0,-13.0,2.5,2017,november
Vestfold,3420.0,2.7,-401.0,-10.0,3.1,2017,november
Telemark,1957.0,2.3,-393.0,-17.0,2.7,2017,november
Aust-Agder,1690.0,3.0,-311.0,-16.0,3.5,2017,november
Vest-Agder,2466.0,2.6,-696.0,-22.0,3.3,2017,november
Rogaland,7991.0,3.1,-3714.0,-32.0,4.5,2017,november
Hordaland,7425.0,2.7,-1977.0,-21.0,3.4,2017,november
Sogn og Fjordane,784.0,1.3,-128.0,-14.0,1.6,2017,november
Møre og Romsdal,3359.0,2.4,-966.0,-22.0,3.1,2017,november
Sør-Trøndelag,3166.0,1.8,-680.0,-18.0,2.3,2017,november
Nord-Trøndelag,1281.0,1.8,-136.0,-10.0,2.0,2017,november
Nordland,2240.0,1.8,-654.0,-23.0,2.3,2017,november
Troms,1401.0,1.6,-342.0,-20.0,2.0,2017,november
Finnmark,1057.0,2.6,-141.0,-12.0,3.0,2017,november
Øvrige områder,9.0,,-7.0,-44.0,,2017,november
Ukjent,,,,,,2017,november
