Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juli 2018,,,,,,2018,juli
I alt,70558.0,2.5,-6873.0,-9.0,2.8,2018,juli
Østfold,4332.0,3.0,-50.0,-1.0,3.1,2018,juli
Akershus,7006.0,2.2,-149.0,-2.0,2.2,2018,juli
Oslo,10841.0,2.9,-446.0,-4.0,3.0,2018,juli
Hedmark,1949.0,2.0,26.0,1.0,2.0,2018,juli
Oppland,1617.0,1.7,44.0,3.0,1.6,2018,juli
Buskerud,3858.0,2.6,-186.0,-5.0,2.8,2018,juli
Vestfold,3844.0,3.1,-169.0,-4.0,3.2,2018,juli
Telemark,2314.0,2.7,-255.0,-10.0,3.0,2018,juli
Aust-Agder,1720.0,3.0,-173.0,-9.0,3.3,2018,juli
Vest-Agder,2600.0,2.8,-505.0,-16.0,3.3,2018,juli
Rogaland,7440.0,3.0,-2679.0,-26.0,4.0,2018,juli
Hordaland,8045.0,2.9,-942.0,-10.0,3.2,2018,juli
Sogn og Fjordane,888.0,1.5,-65.0,-7.0,1.6,2018,juli
Møre og Romsdal,3617.0,2.6,-410.0,-10.0,2.9,2018,juli
Nordland,2487.0,2.0,-180.0,-7.0,2.1,2018,juli
Troms Romsa,1568.0,1.8,-252.0,-14.0,2.0,2018,juli
Finnmark Finnmárku,1216.0,3.0,-103.0,-8.0,3.3,2018,juli
Trøndelag,5212.0,2.2,-377.0,-7.0,2.3,2018,juli
Øvrige områder,4.0,,-2.0,-33.0,,2018,juli
Ukjent,,,,,,2018,juli
