Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
September 2020,,,,,,2020,september
I alt,105289.0,3.7,43975.0,72.0,2.2,2020,september
Oslo,19572.0,4.9,9752.0,99.0,2.5,2020,september
Rogaland,9759.0,3.8,4115.0,73.0,2.2,2020,september
Møre og Romsdal,4331.0,3.1,1555.0,56.0,2.0,2020,september
Nordland,3280.0,2.6,1192.0,57.0,1.7,2020,september
Viken,26818.0,4.2,12339.0,85.0,2.3,2020,september
Innlandet,5228.0,2.8,1761.0,51.0,1.8,2020,september
Vestfold og Telemark,8101.0,3.9,2644.0,48.0,2.6,2020,september
Agder,5303.0,3.5,1708.0,48.0,2.4,2020,september
Vestland,12189.0,3.6,5175.0,74.0,2.1,2020,september
Trøndelag - Trööndelage,6879.0,2.8,2361.0,52.0,1.8,2020,september
Troms og Finnmark - Romsa ja Finnmárku,3745.0,2.9,1304.0,53.0,1.9,2020,september
Øvrige områder,65.0,,57.0,713.0,,2020,september
Ukjent,19.0,,12.0,171.0,,2020,september
