Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mai 2021,,,,,,2021,mai
I alt,94086.0,3.3,-87383.0,-48.0,6.4,2021,mai
Oslo,20810.0,5.2,-13311.0,-39.0,8.6,2021,mai
Rogaland,7387.0,2.9,-8446.0,-53.0,6.2,2021,mai
Møre og Romsdal,3552.0,2.6,-3950.0,-53.0,5.4,2021,mai
Nordland,2688.0,2.2,-3356.0,-56.0,4.9,2021,mai
Viken,24979.0,3.9,-18852.0,-43.0,6.8,2021,mai
Innlandet,4552.0,2.4,-5548.0,-55.0,5.4,2021,mai
Vestfold og Telemark,7275.0,3.5,-6100.0,-46.0,6.4,2021,mai
Agder,4148.0,2.7,-4886.0,-54.0,5.9,2021,mai
Vestland,9925.0,2.9,-10752.0,-52.0,6.1,2021,mai
Trøndelag - Trööndelage,5622.0,2.3,-7376.0,-57.0,5.2,2021,mai
Troms og Finnmark - Romsa ja Finnmárku,3096.0,2.4,-4481.0,-59.0,5.8,2021,mai
Øvrige områder,42.0,,-187.0,-82.0,,2021,mai
Ukjent,10.0,,-138.0,-93.0,,2021,mai
