Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Akershus,7632.0,2.6390473122191698,1747.0,29.68564146134239,2010,mars
Oslo,12500.0,3.77309347518522,1669.0,15.409472809528198,2010,mars
Hedmark,2892.0,2.96447224547199,100.0,3.58166189111747,2010,mars
Oppland,2423.0,2.49408555351638,-149.0,-5.793157076205279,2010,mars
Buskerud,4201.0,3.02108807208844,655.0,18.471517202481667,2010,mars
Vestfold,4153.0,3.4336997514565195,215.0,5.45962417470797,2010,mars
Telemark,3238.0,3.7079187012601302,312.0,10.66302118933697,2010,mars
Aust-Agder,2040.0,3.65653067401744,419.0,25.84824182603331,2010,mars
Vest-Agder,2873.0,3.2634420217038005,478.0,19.95824634655532,2010,mars
Rogaland,6335.0,2.73483583069749,2031.0,47.18866171003718,2010,mars
Hordaland,7079.0,2.7752195607761596,854.0,13.718875502008029,2010,mars
Sogn og Fjordane,1409.0,2.50289093673171,209.0,17.41666666666666,2010,mars
Møre og Romsdal,3478.0,2.6143813056492298,451.0,14.89924017178724,2010,mars
Sør-Trøndelag,5003.0,3.21294460509738,-2.0,-0.03996003996003,2010,mars
Nord-Trøndelag,2183.0,3.23489391600327,-77.0,-3.4070796460176895,2010,mars
Nordland,3410.0,2.81069985132222,-175.0,-4.88145048814504,2010,mars
Troms,2269.0,2.70790585705715,-233.0,-9.31254996003197,2010,mars
Finnmark,1466.0,3.7943074362705804,-37.0,-2.46174318030605,2010,mars
Ikke i et fylkesdistrikt,32.0,,11.0,52.38095238095239,2010,mars
Riket,79754.0,3.0798352349395297,9019.0,12.750406446596449,2010,mars
