Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
April 2019,,,,,,2019,april
I alt,63340.0,2.3,-3457.0,-5.0,2.4,2019,april
Østfold,4175.0,2.9,133.0,3.0,2.8,2019,april
Akershus,6428.0,2.0,-61.0,-1.0,2.0,2019,april
Oslo,9966.0,2.6,192.0,2.0,2.6,2019,april
Hedmark,2162.0,2.2,331.0,18.0,1.9,2019,april
Oppland,1779.0,1.8,150.0,9.0,1.7,2019,april
Buskerud,3556.0,2.4,48.0,1.0,2.4,2019,april
Vestfold,3576.0,2.9,-241.0,-6.0,3.1,2019,april
Telemark,2250.0,2.6,19.0,1.0,2.6,2019,april
Aust-Agder,1299.0,2.3,-265.0,-17.0,2.8,2019,april
Vest-Agder,2047.0,2.2,-363.0,-15.0,2.6,2019,april
Rogaland,5974.0,2.4,-1396.0,-19.0,2.9,2019,april
Hordaland,6539.0,2.4,-1103.0,-14.0,2.8,2019,april
Sogn og Fjordane,897.0,1.5,-47.0,-5.0,1.6,2019,april
Møre og Romsdal,2972.0,2.2,-472.0,-14.0,2.5,2019,april
Nordland,2389.0,1.9,-86.0,-3.0,2.0,2019,april
Troms Romsa,1603.0,1.8,134.0,9.0,1.7,2019,april
Finnmark Finnmárku,1147.0,2.9,-2.0,0.0,2.9,2019,april
Trøndelag,4566.0,1.9,-438.0,-9.0,2.1,2019,april
Øvrige områder,10.0,,5.0,100.0,,2019,april
Ukjent,5.0,,,,,2019,april
