Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
August 2022,,,,,,2022,august
I alt,47934.0,1.6,-27872.0,-37.0,2.7,2022,august
Oslo,8131.0,2.0,-5611.0,-41.0,3.6,2022,august
Rogaland,4159.0,1.6,-2560.0,-38.0,2.7,2022,august
Møre og Romsdal,2085.0,1.5,-1087.0,-34.0,2.4,2022,august
Nordland - Nordlánnda,1464.0,1.2,-917.0,-39.0,2.0,2022,august
Viken,12384.0,1.9,-7468.0,-38.0,3.1,2022,august
Innlandet,2576.0,1.4,-1230.0,-32.0,2.1,2022,august
Vestfold og Telemark,4305.0,2.1,-1746.0,-29.0,3.0,2022,august
Agder,2501.0,1.6,-1216.0,-33.0,2.5,2022,august
Vestland,5344.0,1.6,-3275.0,-38.0,2.6,2022,august
Trøndelag - Trööndelage,3214.0,1.3,-1875.0,-37.0,2.1,2022,august
Troms og Finnmark - Romsa ja Finnmárku,1747.0,1.4,-863.0,-33.0,2.1,2022,august
Øvrige områder,13.0,,-23.0,-64.0,,2022,august
Ukjent,11.0,,-1.0,-8.0,,2022,august
