Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juni 2023,,,,,,2023,juni
I alt,49570.0,1.7,2466.0,5.0,1.6,2023,juni
Oslo,8861.0,2.2,648.0,8.0,2.1,2023,juni
Rogaland,4021.0,1.6,-57.0,-1.0,1.6,2023,juni
Møre og Romsdal,2124.0,1.5,13.0,1.0,1.5,2023,juni
Nordland - Nordlánnda,1493.0,1.2,44.0,3.0,1.2,2023,juni
Viken,13314.0,2.0,1136.0,9.0,1.9,2023,juni
Innlandet,2778.0,1.5,287.0,12.0,1.3,2023,juni
Vestfold og Telemark,4253.0,2.0,216.0,5.0,1.9,2023,juni
Agder,2712.0,1.7,334.0,14.0,1.6,2023,juni
Vestland,5184.0,1.5,-156.0,-3.0,1.6,2023,juni
Trøndelag - Trööndelage,3142.0,1.3,103.0,3.0,1.2,2023,juni
Troms og Finnmark - Romsa ja Finnmárku,1680.0,1.3,-92.0,-5.0,1.4,2023,juni
Øvrige områder,4.0,,-1.0,-20.0,,2023,juni
Ukjent,4.0,,-9.0,-69.0,,2023,juni
