Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juli 2024,,,,,,2024,juli
I alt,62558.0,2.1,8341.0,15.0,1.8,2024,juli
Oslo,11419.0,2.8,1548.0,16.0,2.4,2024,juli
Rogaland,4937.0,1.9,591.0,14.0,1.7,2024,juli
Møre og Romsdal,2580.0,1.9,224.0,10.0,1.7,2024,juli
Nordland - Nordlánnda,1922.0,1.6,292.0,18.0,1.3,2024,juli
Østfold,4296.0,2.8,273.0,7.0,2.7,2024,juli
Akershus,9120.0,2.4,1307.0,17.0,2.1,2024,juli
Buskerud,3116.0,2.3,532.0,21.0,1.9,2024,juli
Innlandet,3521.0,1.9,529.0,18.0,1.6,2024,juli
Vestfold,3074.0,2.4,283.0,10.0,2.2,2024,juli
Telemark,2100.0,2.4,284.0,16.0,2.1,2024,juli
Agder,3380.0,2.1,405.0,14.0,1.9,2024,juli
Vestland,6443.0,1.9,654.0,11.0,1.7,2024,juli
Trøndelag - Trööndelage,4390.0,1.7,966.0,28.0,1.4,2024,juli
Troms - Romsa - Tromssa ,1270.0,1.4,211.0,20.0,1.2,2024,juli
Finnmark - Finnmárku - Finmarkku,968.0,2.5,236.0,32.0,1.9,2024,juli
Øvrige områder,16.0,,6.0,60.0,,2024,juli
Ukjent,6.0,,0.0,0.0,,2024,juli
