Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Akershus,7780.0,2.68423716331113,646.0,9.05522848331931,2010,juli
Oslo,13716.0,4.10304401982007,688.0,5.2809333742708,2010,juli
Hedmark,2768.0,2.87150467830666,-27.0,-0.9660107334525899,2010,juli
Oppland,2164.0,2.2437692503140703,-314.0,-12.67150928167877,2010,juli
Buskerud,4153.0,2.9916227144368,205.0,5.19250253292806,2010,juli
Vestfold,4142.0,3.43550496340888,-166.0,-3.8532961931290597,2010,juli
Telemark,2952.0,3.40855942385739,-114.0,-3.7181996086105595,2010,juli
Aust-Agder,1991.0,3.58743366851363,86.0,4.51443569553805,2010,juli
Vest-Agder,2610.0,2.9608287461758,28.0,1.0844306738962,2010,juli
Rogaland,5228.0,2.2427963562487,233.0,4.6646646646646595,2010,juli
Hordaland,6915.0,2.7008383109184497,175.0,2.59643916913946,2010,juli
Sogn og Fjordane,1363.0,2.43505339216336,185.0,15.70458404074703,2010,juli
Møre og Romsdal,3321.0,2.49797713495697,48.0,1.46654445462878,2010,juli
Sør-Trøndelag,4844.0,3.11295421192665,-304.0,-5.9052059052059,2010,juli
Nord-Trøndelag,2046.0,3.0627412881776,-42.0,-2.01149425287356,2010,juli
Nordland,3491.0,2.90246736081502,-232.0,-6.23153370937416,2010,juli
Troms,2246.0,2.7014539523462,-134.0,-5.63025210084033,2010,juli
Finnmark,1401.0,3.69065095417025,-40.0,-2.77585010409437,2010,juli
Ikke i et fylkesdistrikt,26.0,,1.0,4.0,2010,juli
Riket,78242.0,3.02333024567008,886.0,1.14535394798076,2010,juli
