Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
April 2018,,,,,,2018,april
I alt,,66797.0,2.4,-11415.0,-15.0,2018,april
Østfold,,4042.0,2.8,-363.0,-8.0,2018,april
Akershus,,6489.0,2.0,-484.0,-7.0,2018,april
Oslo,,9774.0,2.6,-934.0,-9.0,2018,april
Hedmark,,1831.0,1.9,-234.0,-11.0,2018,april
Oppland,,1629.0,1.7,-127.0,-7.0,2018,april
Buskerud,,3508.0,2.4,-296.0,-8.0,2018,april
Vestfold,,3817.0,3.1,-222.0,-5.0,2018,april
Telemark,,2231.0,2.6,-410.0,-16.0,2018,april
Aust-Agder,,1564.0,2.7,-269.0,-15.0,2018,april
Vest-Agder,,2410.0,2.6,-743.0,-24.0,2018,april
Rogaland,,7370.0,2.9,-3495.0,-32.0,2018,april
Hordaland,,7642.0,2.7,-1510.0,-16.0,2018,april
Sogn og Fjordane,,944.0,1.6,-63.0,-6.0,2018,april
Møre og Romsdal,,3452.0,2.5,-821.0,-19.0,2018,april
Nordland,,2475.0,2.0,-358.0,-13.0,2018,april
Troms Romsa,,1469.0,1.6,-296.0,-17.0,2018,april
Finnmark Finnmárku,,1149.0,2.9,-264.0,-19.0,2018,april
Trøndelag,,4996.0,2.1,-524.0,-9.0,2018,april
Øvrige områder,,5.0,,-2.0,-29.0,2018,april
