Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mars 2018,,,,,,2018,mars
I alt,,68835.0,2.5,-12492.0,-15.0,2018,mars
Østfold,,4186.0,2.9,-450.0,-10.0,2018,mars
Akershus,,6484.0,2.0,-667.0,-9.0,2018,mars
Oslo,,9910.0,2.6,-1322.0,-12.0,2018,mars
Hedmark,,1871.0,1.9,-196.0,-9.0,2018,mars
Oppland,,1639.0,1.7,-214.0,-12.0,2018,mars
Buskerud,,3540.0,2.4,-345.0,-9.0,2018,mars
Vestfold,,3880.0,3.1,-369.0,-9.0,2018,mars
Telemark,,2343.0,2.7,-498.0,-18.0,2018,mars
Aust-Agder,,1736.0,3.1,-211.0,-11.0,2018,mars
Vest-Agder,,2447.0,2.6,-804.0,-25.0,2018,mars
Rogaland,,7848.0,3.1,-3514.0,-31.0,2018,mars
Hordaland,,8108.0,2.9,-1295.0,-14.0,2018,mars
Sogn og Fjordane,,972.0,1.6,-157.0,-14.0,2018,mars
Møre og Romsdal,,3601.0,2.6,-939.0,-21.0,2018,mars
Nordland,,2442.0,2.0,-519.0,-18.0,2018,mars
Troms Romsa,,1484.0,1.7,-302.0,-17.0,2018,mars
Finnmark Finnmárku,,1135.0,2.8,-239.0,-17.0,2018,mars
Trøndelag,,5201.0,2.1,-449.0,-8.0,2018,mars
Øvrige områder,,8.0,,-2.0,-20.0,2018,mars
