Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mars 2019,,,,,,2019,mars
I alt,66258.0,2.4,-2577.0,-4.0,2.5,2019,mars
Østfold,4342.0,3.0,156.0,4.0,2.9,2019,mars
Akershus,6719.0,2.1,235.0,4.0,2.0,2019,mars
Oslo,10133.0,2.7,223.0,2.0,2.6,2019,mars
Hedmark,2231.0,2.3,360.0,19.0,1.9,2019,mars
Oppland,1806.0,1.9,167.0,10.0,1.7,2019,mars
Buskerud,3641.0,2.5,101.0,3.0,2.4,2019,mars
Vestfold,3756.0,3.0,-124.0,-3.0,3.1,2019,mars
Telemark,2412.0,2.8,69.0,3.0,2.7,2019,mars
Aust-Agder,1463.0,2.6,-273.0,-16.0,3.1,2019,mars
Vest-Agder,2213.0,2.4,-234.0,-10.0,2.6,2019,mars
Rogaland,6132.0,2.4,-1716.0,-22.0,3.1,2019,mars
Hordaland,6906.0,2.5,-1202.0,-15.0,2.9,2019,mars
Sogn og Fjordane,968.0,1.7,-4.0,0.0,1.7,2019,mars
Møre og Romsdal,3230.0,2.3,-360.0,-10.0,2.6,2019,mars
Nordland,2632.0,2.1,190.0,8.0,2.0,2019,mars
Troms Romsa,1573.0,1.8,89.0,6.0,1.7,2019,mars
Finnmark Finnmárku,1147.0,2.9,12.0,1.0,2.8,2019,mars
Trøndelag,4937.0,2.0,-275.0,-5.0,2.1,2019,mars
Øvrige områder,12.0,,4.0,50.0,,2019,mars
Ukjent,5.0,,,,,2019,mars
