Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
April 2021,,,,,,2021,april
I alt,113259.0,4.0,-155754.0,-58.0,9.5,2021,april
Oslo,24726.0,6.2,-24007.0,-49.0,12.3,2021,april
Rogaland,8715.0,3.4,-13943.0,-62.0,8.9,2021,april
Møre og Romsdal,3921.0,2.8,-7735.0,-66.0,8.4,2021,april
Nordland,3238.0,2.6,-6331.0,-66.0,7.7,2021,april
Viken,31738.0,4.9,-31693.0,-50.0,9.8,2021,april
Innlandet,5251.0,2.8,-10819.0,-67.0,8.5,2021,april
Vestfold og Telemark,8813.0,4.2,-10907.0,-55.0,9.4,2021,april
Agder,4832.0,3.2,-8592.0,-64.0,8.8,2021,april
Vestland,11530.0,3.4,-19822.0,-63.0,9.2,2021,april
Trøndelag - Trööndelage,6814.0,2.7,-13802.0,-67.0,8.3,2021,april
Troms og Finnmark - Romsa ja Finnmárku,3614.0,2.8,-7673.0,-68.0,8.6,2021,april
Øvrige områder,53.0,,-218.0,-80.0,,2021,april
Ukjent,14.0,,-212.0,-94.0,,2021,april
