Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Oktober 2023,,,,,,2023,oktober
I alt,52422.0,1.8,7016.0,15.0,1.6,2023,oktober
Oslo,9602.0,2.4,1919.0,25.0,1.9,2023,oktober
Rogaland,4276.0,1.7,480.0,13.0,1.5,2023,oktober
Møre og Romsdal,2016.0,1.5,73.0,4.0,1.4,2023,oktober
Nordland - Nordlánnda,1601.0,1.3,194.0,14.0,1.2,2023,oktober
Viken,13844.0,2.1,2160.0,18.0,1.8,2023,oktober
Innlandet,2816.0,1.5,259.0,10.0,1.4,2023,oktober
Vestfold og Telemark,4521.0,2.1,210.0,5.0,2.1,2023,oktober
Agder,2984.0,1.9,366.0,14.0,1.7,2023,oktober
Vestland,5403.0,1.6,370.0,7.0,1.5,2023,oktober
Trøndelag - Trööndelage,3475.0,1.4,642.0,23.0,1.1,2023,oktober
Troms og Finnmark - Romsa ja Finnmárku,1869.0,1.5,346.0,23.0,1.2,2023,oktober
Øvrige områder,6.0,,-5.0,-45.0,,2023,oktober
Ukjent,9.0,,2.0,29.0,,2023,oktober
