Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Akershus,7793.0,2.69471903880032,1773.0,29.45182724252492,2010,april
Oslo,12629.0,3.8120317998491298,1554.0,14.031602708803609,2010,april
Hedmark,2829.0,2.8998934932366103,-64.0,-2.21223643276875,2010,april
Oppland,2455.0,2.5270243639631498,-284.0,-10.3687477181453,2010,april
Buskerud,4117.0,2.96068069335589,450.0,12.27161167166621,2010,april
Vestfold,4141.0,3.42377815333047,279.0,7.224236147074049,2010,april
Telemark,3104.0,3.55447178774288,114.0,3.81270903010033,2010,april
Aust-Agder,1837.0,3.29267002361276,215.0,13.25524044389642,2010,april
Vest-Agder,2711.0,3.0794261471768203,337.0,14.19545071609098,2010,april
Rogaland,5910.0,2.55136223511005,1485.0,33.5593220338983,2010,april
Hordaland,6789.0,2.66152925527749,529.0,8.450479233226831,2010,april
Sogn og Fjordane,1405.0,2.49578549759265,148.0,11.77406523468576,2010,april
Møre og Romsdal,3381.0,2.5414672784359,259.0,8.29596412556053,2010,april
Sør-Trøndelag,4703.0,3.02028352543933,-369.0,-7.2752365930599305,2010,april
Nord-Trøndelag,2154.0,3.19192006187405,-28.0,-1.2832263978001799,2010,april
Nordland,3511.0,2.89394931905933,-239.0,-6.3733333333333295,2010,april
Troms,2337.0,2.78905949226204,-222.0,-8.67526377491207,2010,april
Finnmark,1495.0,3.86936535963473,-51.0,-3.29883570504527,2010,april
Ikke i et fylkesdistrikt,41.0,,17.0,70.83333333333334,2010,april
Riket,78290.0,3.0233004055397297,6299.0,8.74970482421413,2010,april
