Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Akershus,7385.0,2.5479551993641,354.0,5.03484568340207,2010,august
Oslo,13402.0,4.00911314914177,710.0,5.5940750078789705,2010,august
Hedmark,2711.0,2.81237325971437,-138.0,-4.84380484380484,2010,august
Oppland,2105.0,2.1825943955227,-312.0,-12.90856433595366,2010,august
Buskerud,3909.0,2.81585677600131,134.0,3.54966887417218,2010,august
Vestfold,3840.0,3.1850166729816802,-283.0,-6.863934028619929,2010,august
Telemark,2843.0,3.28270136925018,-52.0,-1.7962003454231399,2010,august
Aust-Agder,1905.0,3.43247671447437,0.0,0.0,2010,august
Vest-Agder,2666.0,3.02435610624701,107.0,4.18132082844861,2010,august
Rogaland,5255.0,2.25437927545657,248.0,4.95306570800878,2010,august
Hordaland,6696.0,2.61530199998697,84.0,1.27041742286751,2010,august
Sogn og Fjordane,1324.0,2.36537835012787,182.0,15.936952714535902,2010,august
Møre og Romsdal,3305.0,2.48594231587858,-42.0,-1.25485509411413,2010,august
Sør-Trøndelag,4696.0,3.01784330702055,-461.0,-8.93930579794454,2010,august
Nord-Trøndelag,1874.0,2.8052674359945398,-141.0,-6.99751861042183,2010,august
Nordland,3665.0,3.04713345098455,45.0,1.24309392265193,2010,august
Troms,2118.0,2.54749753832113,-228.0,-9.71867007672634,2010,august
Finnmark,1331.0,3.5062501213423305,-102.0,-7.11793440334961,2010,august
Ikke i et fylkesdistrikt,30.0,,1.0,3.44827586206896,2010,august
Riket,76101.0,2.94060038119858,177.0,0.23312786470681002,2010,august
