Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Akershus,6594.0,2.2750462538398,281.0,4.45113258355773,2010,desember
Oslo,11626.0,3.47783535829893,79.0,0.68416038797956,2010,desember
Hedmark,2661.0,2.7605035942825302,132.0,5.21945432977461,2010,desember
Oppland,2071.0,2.14734108937174,-61.0,-2.86116322701688,2010,desember
Buskerud,3523.0,2.53780082421402,183.0,5.4790419161676605,2010,desember
Vestfold,3637.0,3.01664209365478,119.0,3.38260375213189,2010,desember
Telemark,2703.0,3.12104882204828,106.0,4.08163265306122,2010,desember
Aust-Agder,1793.0,3.23067230921393,190.0,11.85277604491578,2010,desember
Vest-Agder,2535.0,2.87574746036615,80.0,3.25865580448065,2010,desember
Rogaland,5244.0,2.24966030837188,233.0,4.64977050488924,2010,desember
Hordaland,6419.0,2.50711223684534,580.0,9.93320774105155,2010,desember
Sogn og Fjordane,1062.0,1.8973049908125401,77.0,7.81725888324873,2010,desember
Møre og Romsdal,2973.0,2.23621982000213,100.0,3.48068221371388,2010,desember
Sør-Trøndelag,4393.0,2.8231230084628,266.0,6.44535982553913,2010,desember
Nord-Trøndelag,1645.0,2.4624679467508104,-162.0,-8.965135583840619,2010,desember
Nordland,3248.0,2.70043368316448,142.0,4.57179652285898,2010,desember
Troms,1860.0,2.23717914130184,-98.0,-5.005107252298259,2010,desember
Finnmark,1114.0,2.93460753957577,-100.0,-8.23723228995057,2010,desember
Ikke i et fylkesdistrikt,32.0,,13.0,68.42105263157895,2010,desember
Riket,69935.0,2.70234146278134,2585.0,3.83815887156644,2010,desember
