Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Akershus,7058.0,2.43513443427378,794.0,12.67560664112388,2010,juni
Oslo,12415.0,3.71385910659566,714.0,6.10204256046491,2010,juni
Hedmark,2559.0,2.65468947680157,40.0,1.5879317189360798,2010,juni
Oppland,1970.0,2.04261803286448,-249.0,-11.221270842721939,2010,juni
Buskerud,3860.0,2.78055951787287,328.0,9.28652321630804,2010,juni
Vestfold,3817.0,3.1659397502008004,-32.0,-0.8313847752663001,2010,juni
Telemark,2792.0,3.2238136556266297,73.0,2.68481059212945,2010,juni
Aust-Agder,1814.0,3.26851063520026,156.0,9.408926417370319,2010,juni
Vest-Agder,2496.0,2.83150519174514,-21.0,-0.83432657926102,2010,juni
Rogaland,5055.0,2.16857987391683,599.0,13.44254937163375,2010,juni
Hordaland,6215.0,2.42743457734753,131.0,2.15318869165023,2010,juni
Sogn og Fjordane,1205.0,2.15278014494266,208.0,20.86258776328987,2010,juni
Møre og Romsdal,2936.0,2.20838930088336,105.0,3.70893677145884,2010,juni
Sør-Trøndelag,4349.0,2.79484679349071,-285.0,-6.15019421665947,2010,juni
Nord-Trøndelag,1737.0,2.60018651884873,-139.0,-7.409381663113,2010,juni
Nordland,3216.0,2.6738284252022697,-139.0,-4.14307004470938,2010,juni
Troms,2072.0,2.49216945203087,-112.0,-5.12820512820512,2010,juni
Finnmark,1288.0,3.39297532403375,-2.0,-0.15503875968992,2010,juni
Ikke i et fylkesdistrikt,30.0,,7.0,,2010,juni
Riket,71627.0,2.76772162657666,2397.0,3.46237180413115,2010,juni
