Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Akershus,7000.0,2.41512341171953,586.0,9.13626442157779,2010,oktober
Oslo,12619.0,3.77488425824653,1021.0,8.803241938265211,2010,oktober
Hedmark,2377.0,2.46588389462967,-155.0,-6.1216429699842,2010,oktober
Oppland,1990.0,2.0633552717768002,-194.0,-8.88278388278388,2010,oktober
Buskerud,3437.0,2.47585053443758,317.0,10.16025641025641,2010,oktober
Vestfold,3614.0,2.9975651708739,-26.0,-0.71428571428571,2010,oktober
Telemark,2705.0,3.12335814415116,315.0,13.17991631799163,2010,oktober
Aust-Agder,1643.0,2.9603985521686997,54.0,3.3983637507866504,2010,oktober
Vest-Agder,2430.0,2.75663366023264,-61.0,-2.44881573665194,2010,oktober
Rogaland,5149.0,2.2089055926405097,245.0,4.995921696574221,2010,oktober
Hordaland,6088.0,2.37783132854252,517.0,9.280201041105721,2010,oktober
Sogn og Fjordane,1013.0,1.80976455338333,82.0,8.80773361976369,2010,oktober
Møre og Romsdal,2899.0,2.1805587817646,-34.0,-1.1592226389362401,2010,oktober
Sør-Trøndelag,4335.0,2.78584981599959,218.0,5.29511780422637,2010,oktober
Nord-Trøndelag,1543.0,2.3097799646422503,-151.0,-8.913813459267999,2010,oktober
Nordland,3171.0,2.63641478119291,212.0,7.16458262926664,2010,oktober
Troms,1802.0,2.16741764119673,-133.0,-6.87338501291989,2010,oktober
Finnmark,1162.0,3.0610538249434898,5.0,0.43215211754537003,2010,oktober
Ikke i et fylkesdistrikt,30.0,,12.0,66.66666666666666,2010,oktober
Riket,69790.0,2.6967385527634202,3364.0,5.06428205823021,2010,oktober
