Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
November 2012,,,,,2012,november
I alt,60503.0,2.3,-1092.0,-2.0,2012,november
Østfold,4349.0,3.1,188.0,5.0,2012,november
Akershus,6092.0,2.1,42.0,1.0,2012,november
Oslo,10474.0,3.0,491.0,5.0,2012,november
Hedmark,2232.0,2.3,-179.0,-7.0,2012,november
Oppland,1920.0,2.0,-13.0,-1.0,2012,november
Buskerud,3015.0,2.1,-226.0,-7.0,2012,november
Vestfold,3370.0,2.8,-78.0,-2.0,2012,november
Telemark,2727.0,3.2,-40.0,-1.0,2012,november
Aust-Agder,1559.0,2.8,-97.0,-6.0,2012,november
Vest-Agder,2514.0,2.8,223.0,10.0,2012,november
Rogaland,3903.0,1.6,-365.0,-9.0,2012,november
Hordaland,4667.0,1.8,-755.0,-14.0,2012,november
Sogn og Fjordane,927.0,1.6,54.0,6.0,2012,november
Møre og Romsdal,2342.0,1.7,-192.0,-8.0,2012,november
Sør-Trøndelag,3247.0,2.1,-95.0,-3.0,2012,november
Nord-Trøndelag,1391.0,2.1,-32.0,-2.0,2012,november
Nordland,3024.0,2.5,-50.0,-2.0,2012,november
Troms,1617.0,1.9,2.0,0.0,2012,november
Finnmark,1116.0,2.9,30.0,3.0,2012,november
Øvrige områder,7.0,,3.0,75.0,2012,november
Ukjent,10.0,,-3.0,-23.0,2012,november
