Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
August 2013,,,,,2013,august
I alt,73523.0,2.8,5078.0,7.0,2013,august
Østfold,5276.0,3.7,267.0,5.0,2013,august
Akershus,7394.0,2.5,762.0,11.0,2013,august
Oslo,12748.0,3.6,1209.0,10.0,2013,august
Hedmark,2754.0,2.9,125.0,5.0,2013,august
Oppland,2319.0,2.4,166.0,8.0,2013,august
Buskerud,3737.0,2.6,366.0,11.0,2013,august
Vestfold,3845.0,3.1,74.0,2.0,2013,august
Telemark,2944.0,3.4,-112.0,-4.0,2013,august
Aust-Agder,1958.0,3.4,144.0,8.0,2013,august
Vest-Agder,2650.0,2.9,107.0,4.0,2013,august
Rogaland,4851.0,2.0,399.0,9.0,2013,august
Hordaland,6044.0,2.3,357.0,6.0,2013,august
Sogn og Fjordane,1160.0,2.0,111.0,11.0,2013,august
Møre og Romsdal,3044.0,2.2,330.0,12.0,2013,august
Sør-Trøndelag,3865.0,2.4,167.0,5.0,2013,august
Nord-Trøndelag,1678.0,2.5,-6.0,0.0,2013,august
Nordland,3722.0,3.1,318.0,9.0,2013,august
Troms,2062.0,2.4,100.0,5.0,2013,august
Finnmark,1367.0,3.5,111.0,9.0,2013,august
Øvrige områder,11.0,,6.0,120.0,2013,august
Ukjent,94.0,,77.0,453.0,2013,august
