Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Februar 2013,,,,,2013,februar
I alt,70020.0,2.7,508.0,1.0,2013,februar
Østfold,4973.0,3.6,276.0,6.0,2013,februar
Akershus,6872.0,2.3,228.0,3.0,2013,februar
Oslo,11785.0,3.4,962.0,9.0,2013,februar
Hedmark,2738.0,2.9,0.0,0.0,2013,februar
Oppland,2331.0,2.4,-51.0,-2.0,2013,februar
Buskerud,3572.0,2.5,-229.0,-6.0,2013,februar
Vestfold,3801.0,3.1,-112.0,-3.0,2013,februar
Telemark,2994.0,3.5,-213.0,-7.0,2013,februar
Aust-Agder,1937.0,3.4,102.0,6.0,2013,februar
Vest-Agder,2746.0,3.1,175.0,7.0,2013,februar
Rogaland,4352.0,1.8,-353.0,-8.0,2013,februar
Hordaland,5607.0,2.1,-353.0,-6.0,2013,februar
Sogn og Fjordane,1072.0,1.9,-2.0,0.0,2013,februar
Møre og Romsdal,2803.0,2.1,5.0,0.0,2013,februar
Sør-Trøndelag,3774.0,2.4,-47.0,-1.0,2013,februar
Nord-Trøndelag,1714.0,2.6,-32.0,-2.0,2013,februar
Nordland,3712.0,3.1,190.0,5.0,2013,februar
Troms,1947.0,2.3,-32.0,-2.0,2013,februar
Finnmark,1270.0,3.3,-4.0,0.0,2013,februar
Øvrige områder,3.0,,-1.0,-25.0,2013,februar
Ukjent,17.0,,-1.0,-6.0,2013,februar
1) NAV har endret variabelen for fordeling på fylke. Finn lenke til mer informasjon om dette i 'Om tabellene'.,,,,,2013,februar
