Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Mai 2013,,,,,2013,mai
I alt,65548.0,2.5,4099.0,7.0,2013,mai
Østfold,4631.0,3.3,172.0,4.0,2013,mai
Akershus,6497.0,2.2,356.0,6.0,2013,mai
Oslo,11461.0,3.2,1314.0,13.0,2013,mai
Hedmark,2593.0,2.7,163.0,7.0,2013,mai
Oppland,2164.0,2.2,140.0,7.0,2013,mai
Buskerud,3534.0,2.5,227.0,7.0,2013,mai
Vestfold,3462.0,2.8,169.0,5.0,2013,mai
Telemark,2653.0,3.0,67.0,3.0,2013,mai
Aust-Agder,1689.0,3.0,119.0,8.0,2013,mai
Vest-Agder,2315.0,2.5,147.0,7.0,2013,mai
Rogaland,4193.0,1.7,192.0,5.0,2013,mai
Hordaland,5099.0,1.9,-65.0,-1.0,2013,mai
Sogn og Fjordane,1071.0,1.9,68.0,7.0,2013,mai
Møre og Romsdal,2634.0,1.9,212.0,9.0,2013,mai
Sør-Trøndelag,3417.0,2.1,126.0,4.0,2013,mai
Nord-Trøndelag,1463.0,2.2,43.0,3.0,2013,mai
Nordland,3435.0,2.8,381.0,12.0,2013,mai
Troms,1921.0,2.3,99.0,5.0,2013,mai
Finnmark,1281.0,3.3,151.0,13.0,2013,mai
Øvrige områder,3.0,,-1.0,-25.0,2013,mai
Ukjent,32.0,,19.0,146.0,2013,mai
1) NAV har endret variabelen for fordeling på fylke. Finn lenke til mer informasjon om dette i 'Om tabellene'.,,,,,2013,mai
