Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Januar 2014,,,,,2014,januar
I alt,80104.0,3.0,8564.0,12.0,2014,januar
Østfold,5811.0,4.1,748.0,15.0,2014,januar
Akershus,7874.0,2.6,893.0,13.0,2014,januar
Oslo,13608.0,3.9,1652.0,14.0,2014,januar
Hedmark,3148.0,3.3,340.0,12.0,2014,januar
Oppland,2564.0,2.6,47.0,2.0,2014,januar
Buskerud,4284.0,3.0,701.0,20.0,2014,januar
Vestfold,4214.0,3.4,331.0,9.0,2014,januar
Telemark,2983.0,3.4,-140.0,-4.0,2014,januar
Aust-Agder,2274.0,4.0,268.0,13.0,2014,januar
Vest-Agder,2864.0,3.1,71.0,3.0,2014,januar
Rogaland,5477.0,2.2,1104.0,25.0,2014,januar
Hordaland,6558.0,2.5,972.0,17.0,2014,januar
Sogn og Fjordane,1332.0,2.3,192.0,17.0,2014,januar
Møre og Romsdal,3257.0,2.4,337.0,12.0,2014,januar
Sør-Trøndelag,4267.0,2.7,269.0,7.0,2014,januar
Nord-Trøndelag,2003.0,3.0,309.0,18.0,2014,januar
Nordland,3911.0,3.2,187.0,5.0,2014,januar
Troms,2067.0,2.5,129.0,7.0,2014,januar
Finnmark,1516.0,3.9,84.0,6.0,2014,januar
Øvrige områder,10.0,,4.0,67.0,2014,januar
Ukjent,82.0,,66.0,413.0,2014,januar
