Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Mars 2014,,,,,2014,mars
I alt,76925.0,2.9,6956.0,10.0,2014,mars
Østfold,5603.0,4.0,550.0,11.0,2014,mars
Akershus,7868.0,2.6,1034.0,15.0,2014,mars
Oslo,13201.0,3.7,1392.0,12.0,2014,mars
Hedmark,3029.0,3.1,261.0,9.0,2014,mars
Oppland,2341.0,2.4,0.0,0.0,2014,mars
Buskerud,4139.0,2.9,471.0,13.0,2014,mars
Vestfold,4059.0,3.3,373.0,10.0,2014,mars
Telemark,3012.0,3.5,126.0,4.0,2014,mars
Aust-Agder,2084.0,3.7,184.0,10.0,2014,mars
Vest-Agder,2677.0,2.9,-47.0,-2.0,2014,mars
Rogaland,5394.0,2.2,1014.0,23.0,2014,mars
Hordaland,6162.0,2.3,617.0,11.0,2014,mars
Sogn og Fjordane,1293.0,2.3,123.0,11.0,2014,mars
Møre og Romsdal,3030.0,2.2,179.0,6.0,2014,mars
Sør-Trøndelag,4232.0,2.6,454.0,12.0,2014,mars
Nord-Trøndelag,1918.0,2.8,211.0,12.0,2014,mars
Nordland,3434.0,2.8,-131.0,-4.0,2014,mars
Troms,1964.0,2.3,-11.0,-1.0,2014,mars
Finnmark,1362.0,3.5,48.0,4.0,2014,mars
Øvrige områder,11.0,,8.0,267.0,2014,mars
Ukjent,112.0,,100.0,833.0,2014,mars
