Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
September 2014,,,,,2014,september
I alt,74138.0,2.7,4574.0,7.0,2014,september
Østfold,5215.0,3.7,309.0,6.0,2014,september
Akershus,7758.0,2.5,615.0,9.0,2014,september
Oslo,12829.0,3.6,654.0,5.0,2014,september
Hedmark,2690.0,2.8,100.0,4.0,2014,september
Oppland,1931.0,2.0,-207.0,-10.0,2014,september
Buskerud,4119.0,2.9,444.0,12.0,2014,september
Vestfold,3800.0,3.1,103.0,3.0,2014,september
Telemark,3035.0,3.5,352.0,13.0,2014,september
Aust-Agder,1816.0,3.2,-53.0,-3.0,2014,september
Vest-Agder,2790.0,3.0,340.0,14.0,2014,september
Rogaland,5705.0,2.3,928.0,19.0,2014,september
Hordaland,6385.0,2.4,657.0,11.0,2014,september
Sogn og Fjordane,895.0,1.6,-145.0,-14.0,2014,september
Møre og Romsdal,2878.0,2.1,94.0,3.0,2014,september
Sør-Trøndelag,3972.0,2.4,387.0,11.0,2014,september
Nord-Trøndelag,1745.0,2.6,253.0,17.0,2014,september
Nordland,3305.0,2.7,-257.0,-7.0,2014,september
Troms,1821.0,2.1,-4.0,0.0,2014,september
Finnmark,1299.0,3.3,-16.0,-1.0,2014,september
Øvrige områder,4.0,,-4.0,-50.0,2014,september
Ukjent,146.0,,24.0,20.0,2014,september
