Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Oktober 2015,,,,,,2015,oktober
I alt,79974.0,2.9,7860.0,11.0,2.7,2015,oktober
Østfold,4649.0,3.2,-215.0,-4.0,3.4,2015,oktober
Akershus,7821.0,2.5,163.0,2.0,2.5,2015,oktober
Oslo,12069.0,3.3,-98.0,-1.0,3.4,2015,oktober
Hedmark,2270.0,2.3,-315.0,-12.0,2.7,2015,oktober
Oppland,1841.0,1.9,-36.0,-2.0,1.9,2015,oktober
Buskerud,4096.0,2.8,-28.0,-1.0,2.9,2015,oktober
Vestfold,3582.0,2.9,-97.0,-3.0,3.0,2015,oktober
Telemark,2877.0,3.3,-68.0,-2.0,3.4,2015,oktober
Aust-Agder,2280.0,4.0,475.0,26.0,3.1,2015,oktober
Vest-Agder,3206.0,3.4,479.0,18.0,3.0,2015,oktober
Rogaland,10273.0,4.0,4532.0,79.0,2.3,2015,oktober
Hordaland,8039.0,2.9,1743.0,28.0,2.3,2015,oktober
Sogn og Fjordane,1006.0,1.7,83.0,9.0,1.6,2015,oktober
Møre og Romsdal,3782.0,2.7,988.0,35.0,2.0,2015,oktober
Sør-Trøndelag,4200.0,2.5,343.0,9.0,2.4,2015,oktober
Nord-Trøndelag,1752.0,2.6,46.0,3.0,2.5,2015,oktober
Nordland,3269.0,2.7,-6.0,0.0,2.7,2015,oktober
Troms,1757.0,2.0,32.0,2.0,2.0,2015,oktober
Finnmark,1157.0,2.9,-59.0,-5.0,3.1,2015,oktober
Øvrige områder,14.0,,6.0,75.0,,2015,oktober
Ukjent,34.0,,-108.0,-76.0,,2015,oktober
