Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Februar 2016,,,,,,2016,februar
I alt,90903.0,3.3,9369.0,11.0,3.0,2016,februar
Østfold,5148.0,3.6,-168.0,-3.0,3.7,2016,februar
Akershus,8263.0,2.7,42.0,1.0,2.7,2016,februar
Oslo,12909.0,3.5,-219.0,-2.0,3.6,2016,februar
Hedmark,2448.0,2.5,-328.0,-12.0,2.9,2016,februar
Oppland,2222.0,2.3,-54.0,-2.0,2.3,2016,februar
Buskerud,4418.0,3.0,157.0,4.0,2.9,2016,februar
Vestfold,4076.0,3.3,64.0,2.0,3.2,2016,februar
Telemark,3338.0,3.8,-33.0,-1.0,3.9,2016,februar
Aust-Agder,2568.0,4.5,410.0,19.0,3.8,2016,februar
Vest-Agder,3714.0,4.0,670.0,22.0,3.3,2016,februar
Rogaland,12450.0,4.9,5017.0,67.0,2.9,2016,februar
Hordaland,9678.0,3.5,2485.0,35.0,2.6,2016,februar
Sogn og Fjordane,1326.0,2.3,127.0,11.0,2.1,2016,februar
Møre og Romsdal,4612.0,3.3,1175.0,34.0,2.5,2016,februar
Sør-Trøndelag,4875.0,2.9,431.0,10.0,2.7,2016,februar
Nord-Trøndelag,1911.0,2.8,-87.0,-4.0,2.9,2016,februar
Nordland,3496.0,2.8,-172.0,-5.0,3.0,2016,februar
Troms,1997.0,2.3,52.0,3.0,2.3,2016,februar
Finnmark,1426.0,3.6,-31.0,-2.0,3.7,2016,februar
Øvrige områder,13.0,,-7.0,-35.0,,2016,februar
Ukjent,15.0,,-162.0,-92.0,,2016,februar
