Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mars 2017,,,,,,2017,mars
I alt,81327.0,2.9,-8007.0,-9.0,3.2,2017,mars
Østfold,4636.0,3.2,-391.0,-8.0,3.5,2017,mars
Akershus,7151.0,2.3,-1116.0,-13.0,2.6,2017,mars
Oslo,11232.0,3.0,-1420.0,-11.0,3.4,2017,mars
Hedmark,2067.0,2.1,-386.0,-16.0,2.5,2017,mars
Oppland,1853.0,1.9,-314.0,-14.0,2.2,2017,mars
Buskerud,3885.0,2.7,-480.0,-11.0,3.0,2017,mars
Vestfold,4249.0,3.4,273.0,7.0,3.2,2017,mars
Telemark,2841.0,3.3,-385.0,-12.0,3.7,2017,mars
Aust-Agder,1947.0,3.4,-499.0,-20.0,4.2,2017,mars
Vest-Agder,3251.0,3.4,-481.0,-13.0,3.9,2017,mars
Rogaland,11362.0,4.4,-739.0,-6.0,4.6,2017,mars
Hordaland,9403.0,3.4,-305.0,-3.0,3.5,2017,mars
Sogn og Fjordane,1129.0,1.9,-188.0,-14.0,2.2,2017,mars
Møre og Romsdal,4540.0,3.2,-225.0,-5.0,3.4,2017,mars
Sør-Trøndelag,4110.0,2.4,-565.0,-12.0,2.8,2017,mars
Nord-Trøndelag,1540.0,2.2,-298.0,-16.0,2.6,2017,mars
Nordland,2961.0,2.4,-364.0,-11.0,2.7,2017,mars
Troms,1786.0,2.0,-138.0,-7.0,2.2,2017,mars
Finnmark,1374.0,3.4,26.0,2.0,3.4,2017,mars
Øvrige områder,10.0,,2.0,25.0,,2017,mars
Ukjent,,,,,,2017,mars
