Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
August 2018,,,,,,2018,august
I alt,,67086.0,2.4,-6832.0,-9.0,2018,august
Østfold,,4173.0,2.9,-88.0,-2.0,2018,august
Akershus,,6701.0,2.1,-169.0,-2.0,2018,august
Oslo,,10193.0,2.7,-344.0,-3.0,2018,august
Hedmark,,1917.0,2.0,38.0,2.0,2018,august
Oppland,,1568.0,1.6,20.0,1.0,2018,august
Buskerud,,3643.0,2.5,-103.0,-3.0,2018,august
Vestfold,,3693.0,3.0,-91.0,-2.0,2018,august
Telemark,,2251.0,2.6,-182.0,-7.0,2018,august
Aust-Agder,,1571.0,2.8,-305.0,-16.0,2018,august
Vest-Agder,,2485.0,2.7,-502.0,-17.0,2018,august
Rogaland,,7026.0,2.8,-2564.0,-27.0,2018,august
Hordaland,,7534.0,2.7,-886.0,-11.0,2018,august
Sogn og Fjordane,,872.0,1.5,-82.0,-9.0,2018,august
Møre og Romsdal,,3439.0,2.5,-456.0,-12.0,2018,august
Nordland,,2459.0,2.0,-185.0,-7.0,2018,august
Troms Romsa,,1487.0,1.7,-275.0,-16.0,2018,august
Finnmark Finnmárku,,1177.0,2.9,6.0,1.0,2018,august
Trøndelag,,4892.0,2.0,-657.0,-12.0,2018,august
Øvrige områder,,4.0,,-6.0,-60.0,2018,august
Ukjent,,,,,,2018,august
