Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
November 2019,,,,,,2019,november
I alt,59457.0,2.1,-2977.0,-5.0,2.3,2019,november
Østfold,4277.0,3.0,280.0,7.0,2.8,2019,november
Akershus,6526.0,2.0,328.0,5.0,1.9,2019,november
Oslo,9367.0,2.4,-297.0,-3.0,2.5,2019,november
Hedmark,1932.0,2.0,-49.0,-2.0,2.0,2019,november
Oppland,1742.0,1.8,58.0,3.0,1.7,2019,november
Buskerud,3195.0,2.2,-270.0,-8.0,2.4,2019,november
Vestfold,3293.0,2.6,-164.0,-5.0,2.8,2019,november
Telemark,1953.0,2.3,-231.0,-11.0,2.6,2019,november
Aust-Agder,1361.0,2.4,106.0,8.0,2.2,2019,november
Vest-Agder,2208.0,2.3,81.0,4.0,2.3,2019,november
Rogaland,5420.0,2.1,-688.0,-11.0,2.4,2019,november
Hordaland,5910.0,2.1,-1146.0,-16.0,2.6,2019,november
Sogn og Fjordane,730.0,1.3,-79.0,-10.0,1.4,2019,november
Møre og Romsdal,2619.0,1.9,-383.0,-13.0,2.2,2019,november
Nordland,2312.0,1.9,-108.0,-4.0,2.0,2019,november
Troms Romsa,1357.0,1.5,-107.0,-7.0,1.6,2019,november
Finnmark Finnmárku,962.0,2.4,-108.0,-10.0,2.7,2019,november
Trøndelag,4277.0,1.7,-207.0,-5.0,1.8,2019,november
Øvrige områder,6.0,,-2.0,-25.0,,2019,november
Ukjent,10.0,,,,,2019,november
