Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
September 2019,,,,,,2019,september
I alt,61314.0,2.2,-2158.0,-3.0,2.3,2019,september
Østfold,4372.0,3.0,412.0,10.0,2.8,2019,september
Akershus,6463.0,1.9,-23.0,0.0,2.0,2019,september
Oslo,9820.0,2.5,55.0,1.0,2.6,2019,september
Hedmark,1946.0,2.0,129.0,7.0,1.9,2019,september
Oppland,1692.0,1.7,153.0,10.0,1.6,2019,september
Buskerud,3365.0,2.3,-91.0,-3.0,2.4,2019,september
Vestfold,3422.0,2.7,-172.0,-5.0,2.9,2019,september
Telemark,2143.0,2.5,-65.0,-3.0,2.6,2019,september
Aust-Agder,1353.0,2.4,2.0,0.0,2.4,2019,september
Vest-Agder,2242.0,2.4,-35.0,-2.0,2.4,2019,september
Rogaland,5644.0,2.2,-899.0,-14.0,2.6,2019,september
Hordaland,6206.0,2.2,-1007.0,-14.0,2.6,2019,september
Sogn og Fjordane,818.0,1.4,13.0,2.0,1.4,2019,september
Møre og Romsdal,2782.0,2.0,-406.0,-13.0,2.3,2019,september
Nordland,2092.0,1.7,-252.0,-11.0,1.9,2019,september
Troms Romsa,1429.0,1.6,22.0,2.0,1.6,2019,september
Finnmark Finnmárku,1008.0,2.5,-55.0,-5.0,2.7,2019,september
Trøndelag,4502.0,1.8,50.0,1.0,1.8,2019,september
Øvrige områder,8.0,,4.0,100.0,,2019,september
Ukjent,7.0,,,,,2019,september
