Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Januar 2020,,,,,,2020,januar
I alt,68050.0,2.4,-3098.0,-4.0,2.5,2020,januar
Oslo,10273.0,2.6,-287.0,-3.0,2.7,2020,januar
Rogaland,6074.0,2.4,-595.0,-9.0,2.6,2020,januar
Møre og Romsdal,3015.0,2.2,-491.0,-14.0,2.5,2020,januar
Nordland,2593.0,2.1,-189.0,-7.0,2.2,2020,januar
Viken,16401.0,2.6,602.0,4.0,2.5,2020,januar
Innlandet,4033.0,2.1,-142.0,-3.0,2.2,2020,januar
Vestfold og Telemark,6082.0,2.9,-364.0,-6.0,3.1,2020,januar
Agder,4010.0,2.6,-76.0,-2.0,2.7,2020,januar
Vestland,7551.0,2.2,-1257.0,-14.0,2.6,2020,januar
Trøndelag - Trööndelage,5145.0,2.1,-232.0,-4.0,2.2,2020,januar
Troms og Finnmark - Romsa ja Finnmárku,2857.0,2.2,-72.0,-2.0,2.2,2020,januar
Øvrige områder,7.0,,0.0,0.0,,2020,januar
Ukjent,9.0,,5.0,125.0,,2020,januar
