Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
August 2021,,,,,,2021,august
I alt,75806.0,2.7,-46423.0,-38.0,4.3,2021,august
Oslo,13742.0,3.5,-8895.0,-39.0,5.7,2021,august
Rogaland,6719.0,2.6,-4700.0,-41.0,4.5,2021,august
Møre og Romsdal,3172.0,2.3,-2022.0,-39.0,3.7,2021,august
Nordland,2381.0,1.9,-1354.0,-36.0,3.0,2021,august
Viken,19852.0,3.1,-10689.0,-35.0,4.7,2021,august
Innlandet,3806.0,2.0,-2441.0,-39.0,3.3,2021,august
Vestfold og Telemark,6051.0,2.9,-3109.0,-34.0,4.4,2021,august
Agder,3717.0,2.4,-2637.0,-42.0,4.2,2021,august
Vestland,8619.0,2.5,-5307.0,-38.0,4.1,2021,august
Trøndelag - Trööndelage,5089.0,2.0,-3281.0,-39.0,3.4,2021,august
Troms og Finnmark - Romsa ja Finnmárku,2610.0,2.0,-1927.0,-42.0,3.5,2021,august
Øvrige områder,36.0,,-47.0,-57.0,,2021,august
Ukjent,12.0,,-14.0,-54.0,,2021,august
