Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
April 2022,,,,,,2022,april
I alt,53785.0,1.9,-59474.0,-53.0,4.0,2022,april
Oslo,9299.0,2.3,-15427.0,-62.0,6.4,2022,april
Rogaland,4485.0,1.8,-4230.0,-49.0,3.5,2022,april
Møre og Romsdal,2396.0,1.7,-1525.0,-39.0,2.9,2022,april
Nordland - Nordlánnda,1691.0,1.4,-1547.0,-48.0,2.7,2022,april
Viken,14048.0,2.2,-17690.0,-56.0,5.0,2022,april
Innlandet,2908.0,1.6,-2343.0,-45.0,2.9,2022,april
Vestfold og Telemark,4673.0,2.2,-4140.0,-47.0,4.3,2022,april
Agder,2608.0,1.7,-2224.0,-46.0,3.2,2022,april
Vestland,6114.0,1.8,-5416.0,-47.0,3.5,2022,april
Trøndelag - Trööndelage,3491.0,1.4,-3323.0,-49.0,2.8,2022,april
Troms og Finnmark - Romsa ja Finnmárku,2029.0,1.6,-1585.0,-44.0,2.9,2022,april
Øvrige områder,10.0,,-43.0,-81.0,,2022,april
Ukjent,33.0,,19.0,136.0,,2022,april
