Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Desember 2022,,,,,,2022,desember
I alt,47684.0,1.6,-13352.0,-22.0,2.2,2022,desember
Oslo,7824.0,2.0,-2899.0,-27.0,2.8,2022,desember
Rogaland,4081.0,1.6,-1046.0,-20.0,2.1,2022,desember
Møre og Romsdal,2106.0,1.5,-611.0,-22.0,2.0,2022,desember
Nordland - Nordlánnda,1503.0,1.2,-578.0,-28.0,1.7,2022,desember
Viken,12136.0,1.9,-3726.0,-23.0,2.5,2022,desember
Innlandet,2795.0,1.5,-378.0,-12.0,1.8,2022,desember
Vestfold og Telemark,4574.0,2.2,-523.0,-10.0,2.5,2022,desember
Agder,2702.0,1.8,-359.0,-12.0,2.1,2022,desember
Vestland,5313.0,1.6,-1681.0,-24.0,2.1,2022,desember
Trøndelag - Trööndelage,3024.0,1.2,-926.0,-23.0,1.6,2022,desember
Troms og Finnmark - Romsa ja Finnmárku,1609.0,1.3,-602.0,-27.0,1.8,2022,desember
Øvrige områder,7.0,,-18.0,-72.0,,2022,desember
Ukjent,10.0,,-5.0,-33.0,,2022,desember
