Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juli 2022,,,,,,2022,juli
I alt,48066.0,1.7,-38708.0,-45.0,3.1,2022,juli
Oslo,8359.0,2.1,-8495.0,-50.0,4.4,2022,juli
Rogaland,4215.0,1.7,-3147.0,-43.0,3.0,2022,juli
Møre og Romsdal,2149.0,1.6,-1363.0,-39.0,2.6,2022,juli
Nordland - Nordlánnda,1460.0,1.2,-1012.0,-41.0,2.1,2022,juli
Viken,12470.0,1.9,-10480.0,-46.0,3.6,2022,juli
Innlandet,2505.0,1.3,-1639.0,-40.0,2.3,2022,juli
Vestfold og Telemark,4132.0,2.0,-2616.0,-39.0,3.3,2022,juli
Agder,2408.0,1.6,-1717.0,-42.0,2.8,2022,juli
Vestland,5463.0,1.6,-4431.0,-45.0,3.0,2022,juli
Trøndelag - Trööndelage,3053.0,1.2,-2619.0,-46.0,2.4,2022,juli
Troms og Finnmark - Romsa ja Finnmárku,1834.0,1.4,-1147.0,-38.0,2.4,2022,juli
Øvrige områder,10.0,,-41.0,-80.0,,2022,juli
Ukjent,8.0,,-1.0,-11.0,,2022,juli
