Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juni 2024,,,,,,2024,juni
I alt,56953.0,1.9,7383.0,15.0,1.7,2024,juni
Oslo,10298.0,2.5,1437.0,16.0,2.2,2024,juni
Rogaland,4559.0,1.7,538.0,13.0,1.6,2024,juni
Møre og Romsdal,2332.0,1.7,208.0,10.0,1.5,2024,juni
Nordland - Nordlánnda,1838.0,1.5,345.0,23.0,1.2,2024,juni
Østfold,4002.0,2.7,198.0,5.0,2.5,2024,juni
Akershus,8260.0,2.1,1102.0,15.0,1.9,2024,juni
Buskerud,2831.0,2.0,479.0,20.0,1.7,2024,juni
Innlandet,3274.0,1.8,496.0,18.0,1.5,2024,juni
Vestfold,2705.0,2.1,203.0,8.0,2.0,2024,juni
Telemark,1912.0,2.2,161.0,9.0,2.1,2024,juni
Agder,3102.0,2.0,390.0,14.0,1.7,2024,juni
Vestland,5724.0,1.7,540.0,10.0,1.5,2024,juni
Trøndelag - Trööndelage,4005.0,1.6,863.0,27.0,1.3,2024,juni
Troms - Romsa - Tromssa ,1167.0,1.3,180.0,18.0,1.1,2024,juni
Finnmark - Finnmárku - Finmarkku,925.0,2.4,232.0,33.0,1.8,2024,juni
Øvrige områder,11.0,,7.0,175.0,,2024,juni
Ukjent,8.0,,4.0,100.0,,2024,juni
