Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned,Prosent av arbeidsstyrken i fjor
Akershus,7632.0,2.6,1747.0,29.7,2010,Mars,
Aust-Agder,2040.0,3.7,419.0,25.8,2010,Mars,
Buskerud,4201.0,3.0,655.0,18.5,2010,Mars,
Finnmark,1466.0,3.8,-37.0,-2.5,2010,Mars,
Hedmark,2892.0,3.0,100.0,3.6,2010,Mars,
Hordaland,7079.0,2.8,854.0,13.7,2010,Mars,
Landet,79754.0,3.1,9019.0,12.8,2010,Mars,
Møre og Romsdal,3478.0,2.6,451.0,14.9,2010,Mars,
Nord-Trøndelag,2183.0,3.2,-77.0,-3.4,2010,Mars,
Nordland,3410.0,2.8,-175.0,-4.9,2010,Mars,
Oppland,2423.0,2.5,-149.0,-5.8,2010,Mars,
Oslo,12500.0,3.8,1669.0,15.4,2010,Mars,
Rogaland,6335.0,2.7,2031.0,47.2,2010,Mars,
Sogn og Fjordane,1409.0,2.5,209.0,17.4,2010,Mars,
Sør-Trøndelag,5003.0,3.2,-2.0,-0.0,2010,Mars,
Telemark,3238.0,3.7,312.0,10.7,2010,Mars,
Troms,2269.0,2.7,-233.0,-9.3,2010,Mars,
Vest-Agder,2873.0,3.3,478.0,20.0,2010,Mars,
Vestfold,4153.0,3.4,215.0,5.5,2010,Mars,
Øvrige områder,32.0,,11.0,52.4,2010,Mars,
Akershus,7793.0,2.7,1773.0,29.5,2010,April,
Aust-Agder,1837.0,3.3,215.0,13.3,2010,April,
Buskerud,4117.0,3.0,450.0,12.3,2010,April,
Finnmark,1495.0,3.9,-51.0,-3.3,2010,April,
Hedmark,2829.0,2.9,-64.0,-2.2,2010,April,
Hordaland,6789.0,2.7,529.0,8.5,2010,April,
Landet,78290.0,3.0,6299.0,8.7,2010,April,
Møre og Romsdal,3381.0,2.5,259.0,8.3,2010,April,
Nord-Trøndelag,2154.0,3.2,-28.0,-1.3,2010,April,
Nordland,3511.0,2.9,-239.0,-6.4,2010,April,
Oppland,2455.0,2.5,-284.0,-10.4,2010,April,
Oslo,12629.0,3.8,1554.0,14.0,2010,April,
Rogaland,5910.0,2.6,1485.0,33.6,2010,April,
Sogn og Fjordane,1405.0,2.5,148.0,11.8,2010,April,
Sør-Trøndelag,4703.0,3.0,-369.0,-7.3,2010,April,
Telemark,3104.0,3.6,114.0,3.8,2010,April,
Troms,2337.0,2.8,-222.0,-8.7,2010,April,
Vest-Agder,2711.0,3.1,337.0,14.2,2010,April,
Vestfold,4141.0,3.4,279.0,7.2,2010,April,
