Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Østfold,4342.0,3.14063538873019,-460.0,-9.57934194085797,2011,desember
Akershus,6051.0,2.08026087894704,-543.0,-8.23475887170154,2011,desember
Oslo,10079.0,2.9845688669159602,-1547.0,-13.30638224668845,2011,desember
Hedmark,2394.0,2.49446796504523,-267.0,-10.033821871476881,2011,desember
Oppland,2127.0,2.21183518169581,56.0,2.70400772573635,2011,desember
Buskerud,3483.0,2.50155659592602,-40.0,-1.1353959693442999,2011,desember
Vestfold,3495.0,2.90313866004094,-142.0,-3.9043167445697,2011,desember
Telemark,2844.0,3.29368755746291,141.0,5.21642619311875,2011,desember
Aust-Agder,1742.0,3.12998616948591,-51.0,-2.84439486893474,2011,desember
Vest-Agder,2371.0,2.6639361115539097,-164.0,-6.469428007889539,2011,desember
Rogaland,4380.0,1.84785628841948,-864.0,-16.47597254004576,2011,desember
Hordaland,5674.0,2.1973246143823,-745.0,-11.60616918523134,2011,desember
Sogn og Fjordane,980.0,1.74379448933538,-82.0,-7.721280602636529,2011,desember
Møre og Romsdal,2702.0,2.02308177574318,-271.0,-9.11537167843928,2011,desember
Sør-Trøndelag,3306.0,2.11913648124156,-1087.0,-24.74391076712952,2011,desember
Nord-Trøndelag,1512.0,2.27635679032187,-133.0,-8.08510638297872,2011,desember
Nordland,3212.0,2.67247735797224,-36.0,-1.10837438423645,2011,desember
Troms,1771.0,2.13134023776851,-89.0,-4.78494623655914,2011,desember
Finnmark,1159.0,3.04939244867818,45.0,4.03949730700179,2011,desember
Ikke i et fylkesdistrikt,31.0,,-1.0,-3.125,2011,desember
Riket,63655.0,2.4498464211657,-6280.0,-8.97976692643168,2011,desember
