Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Østfold,4242.0,3.0683038505282,-541.0,-11.31089274513903,2011,oktober
Akershus,6395.0,2.19852393337734,-605.0,-8.642857142857139,2011,oktober
Oslo,10588.0,3.1352927039295797,-2031.0,-16.09477771614232,2011,oktober
Hedmark,2418.0,2.51947516268979,41.0,1.72486327303323,2011,oktober
Oppland,1955.0,2.03297497894467,-35.0,-1.7587939698492399,2011,oktober
Buskerud,3307.0,2.3751500610759,-130.0,-3.7823683444864695,2011,oktober
Vestfold,3582.0,2.97540563097758,-32.0,-0.8854454897620301,2011,oktober
Telemark,2669.0,3.09101690958809,-36.0,-1.33086876155268,2011,oktober
Aust-Agder,1626.0,2.92155999516882,-17.0,-1.0346926354230002,2011,oktober
Vest-Agder,2314.0,2.59989378411461,-116.0,-4.77366255144032,2011,oktober
Rogaland,4392.0,1.85291890838775,-757.0,-14.701883860943871,2011,oktober
Hordaland,5596.0,2.16711817801963,-492.0,-8.081471747700391,2011,oktober
Sogn og Fjordane,878.0,1.56229751187395,-135.0,-13.326752221125371,2011,oktober
Møre og Romsdal,2549.0,1.90852533174291,-350.0,-12.073128665056911,2011,oktober
Sør-Trøndelag,3347.0,2.14541736319283,-988.0,-22.791234140715112,2011,oktober
Nord-Trøndelag,1410.0,2.1227930385938,-133.0,-8.6195722618276,2011,oktober
Nordland,3278.0,2.72739127628674,107.0,3.37432986439608,2011,oktober
Troms,1586.0,1.9086988238852898,-216.0,-11.98668146503884,2011,oktober
Finnmark,1145.0,3.01255768225756,-17.0,-1.46299483648881,2011,oktober
Ikke i et fylkesdistrikt,23.0,,-7.0,-23.333333333333332,2011,oktober
Riket,63300.0,2.43618377911851,-6490.0,-9.29932655108181,2011,oktober
