Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Østfold,4660.0,3.3706496802125,-619.0,-11.72570562606554,2012,februar
Akershus,6647.0,2.28515849650652,-529.0,-7.3717948717948705,2012,februar
Oslo,10785.0,3.1936278628523302,-1607.0,-12.96804389928986,2012,februar
Hedmark,2729.0,2.8435267655005902,-189.0,-6.477039067854689,2012,februar
Oppland,2371.0,2.4655670972265,-101.0,-4.08576051779935,2012,februar
Buskerud,3818.0,2.74215994351006,-141.0,-3.5615054306643,2012,februar
Vestfold,3907.0,3.2453684534420497,-284.0,-6.776425674063461,2012,februar
Telemark,3203.0,3.70945191510328,142.0,4.6390068605031,2012,februar
Aust-Agder,1847.0,3.31864779279017,-213.0,-10.33980582524271,2012,februar
Vest-Agder,2569.0,2.8863989331851503,-147.0,-5.41237113402061,2012,februar
Rogaland,4704.0,1.9845470275628398,-863.0,-15.50206574456619,2012,februar
Hordaland,5958.0,2.30730702370282,-944.0,-13.67719501593741,2012,februar
Sogn og Fjordane,1073.0,1.90927702760905,-207.0,-16.171875,2012,februar
Møre og Romsdal,2815.0,2.10768882261919,-688.0,-19.64030830716528,2012,februar
Sør-Trøndelag,3823.0,2.45053199267589,-1048.0,-21.51508930404434,2012,februar
Nord-Trøndelag,1739.0,2.61811141426569,-145.0,-7.69639065817409,2012,februar
Nordland,3526.0,2.93373448449879,-234.0,-6.2234042553191395,2012,februar
Troms,1995.0,2.40091686863251,-103.0,-4.9094375595805495,2012,februar
Finnmark,1296.0,3.40984694865136,59.0,4.76960388035569,2012,februar
Ikke i et fylkesdistrikt,47.0,,-1.0,,2012,februar
Riket,69512.0,2.67526077178651,-7862.0,-10.16103600692739,2012,februar
