Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Østfold,4835.0,3.4972298720659696,-558.0,-10.3467457815687,2012,januar
Akershus,6831.0,2.34841547910878,-507.0,-6.90923957481602,2012,januar
Oslo,11219.0,3.3221428830171797,-1800.0,-13.82594669329441,2012,januar
Hedmark,2742.0,2.8570723308914,-389.0,-12.424145640370481,2012,januar
Oppland,2475.0,2.57371512679696,-106.0,-4.10693529639674,2012,januar
Buskerud,3841.0,2.75867897931434,-339.0,-8.11004784688995,2012,januar
Vestfold,4067.0,3.3782732275784,-173.0,-4.08018867924528,2012,januar
Telemark,3266.0,3.7824133483382196,37.0,1.14586559306286,2012,januar
Aust-Agder,1931.0,3.4695770914335804,-266.0,-12.107419208010919,2012,januar
Vest-Agder,2672.0,3.00212454241757,-205.0,-7.125477928397631,2012,januar
Rogaland,4632.0,1.9541713077532001,-1431.0,-23.602177140029678,2012,januar
Hordaland,6200.0,2.40102442882804,-1254.0,-16.82318218406225,2012,januar
Sogn og Fjordane,1026.0,1.82564606740623,-315.0,-23.48993288590604,2012,januar
Møre og Romsdal,2969.0,2.22299400154755,-578.0,-16.29546095291796,2012,januar
Sør-Trøndelag,4135.0,2.65052309435385,-996.0,-19.41142077567725,2012,januar
Nord-Trøndelag,1809.0,2.72349830270652,-185.0,-9.277833500501501,2012,januar
Nordland,3493.0,2.90627752534154,-420.0,-10.73345259391771,2012,januar
Troms,2070.0,2.49117690128787,-161.0,-7.2164948453608195,2012,januar
Finnmark,1280.0,3.3677500727420804,-91.0,-6.63749088256746,2012,januar
Ikke i et fylkesdistrikt,38.0,,-13.0,-25.49019607843137,2012,januar
Riket,71531.0,2.75296464303517,-9750.0,-11.99542328465447,2012,januar
